Type,Chip,Disp,Electrolyte,Potential [V],Period [s],Pulses #,IDSant (2-3s) [A],Std IDSant [A],"IDSdep (+3, +4s) [A]",Std IDSdep [A],delIDS [A],Std del IDS [A],RatioIDS,Std RazIDS
Standard,1,1,KCl,-0.5,0.11,20,1.1539700995024874e-05,1.2815916041783722e-07,1.155001592039801e-05,1.3245080953045782e-07,1.0314925373136187e-08,1.8430406220232522e-07,1.0008938641805003,0.0159782077421191
Standard,1,1,KCl,-0.5,0.105,20,1.147849552238806e-05,1.252636476790082e-07,1.151781393034826e-05,1.3143127864011334e-07,3.931840796019925e-08,1.8156310868352585e-07,1.0034253973339546,0.0158434876788993
Standard,1,1,KCl,-0.5,0.25,50,1.1031484079601989e-05,1.1838158448539905e-07,1.1017844278606963e-05,1.2235837274008693e-07,-1.3639800995023709e-08,1.702520805302412e-07,0.9987635570249116,0.0154240657691657
Standard,1,1,KCl,-0.5,0.15,50,1.1329278606965175e-05,1.2547310584364173e-07,1.134161393034826e-05,1.2374638178538833e-07,1.233532338308356e-08,1.76229019446358e-07,1.0010888004268428,0.0155637724293183
Standard,1,1,KCl,-0.5,0.125,50,1.150233880597015e-05,1.2112436949915205e-07,1.1528546268656715e-05,1.2825014346388642e-07,2.6207462686567663e-08,1.7640638362903585e-07,1.0022784464210848,0.0153530504661927
Standard,1,1,KCl,-0.5,0.11,50,1.143947711442786e-05,1.245449668739439e-07,1.1518052736318409e-05,1.2635996678131532e-07,7.857562189054584e-08,1.7742122189469585e-07,1.006868812368307,0.0155621436246366
Standard,1,1,KCl,-0.5,0.105,50,1.1425240298507465e-05,1.203845269040437e-07,1.152872736318408e-05,1.3309018933607544e-07,1.034870646766163e-07,1.7945872175913558e-07,1.0090577582591531,0.0157713976514942
Standard,1,1,KCl,0.5,0.25,10,1.010497368159204e-05,1.2581907005449586e-07,1.0196720199004977e-05,1.2636747877504025e-07,9.174651741293576e-08,1.7832324044088697e-07,1.0090793425400075,0.0177270207079388
Standard,1,1,KCl,0.5,0.15,10,1.1581802985074624e-05,1.1972190480878905e-07,1.1541952736318408e-05,1.2727774002147853e-07,-3.9850248756216803e-08,1.7473682381232588e-07,0.9965592361735413,0.0150628397546329
Standard,1,1,KCl,0.5,0.125,10,1.1702611940298507e-05,1.3299020248392897e-07,1.1659314427860696e-05,1.3806106200082633e-07,-4.3297512437813065e-08,1.916957245154739e-07,0.9963001838684648,0.0163514519699719
Standard,1,1,KCl,0.5,0.11,10,1.1811504477611938e-05,1.3487275866479038e-07,1.1760729850746269e-05,1.2062285647619881e-07,-5.077462686566903e-08,1.8094345673256179e-07,0.9957012566043631,0.0152827024122712
Standard,1,1,KCl,0.5,0.105,10,1.17185e-05,1.2788156317468136e-07,1.1646980597014924e-05,1.232639232364515e-07,-7.151940298507554e-08,1.776166911403369e-07,0.9938968807453962,0.0151090657833348
Standard,1,1,KCl,0.5,0.25,20,1.0318363184079602e-05,1.1797492419074049e-07,1.0303952835820893e-05,1.2715262291993014e-07,-1.4410348258709352e-08,1.7345279546098096e-07,0.998603426919403,0.0167992511571978
Standard,1,1,KCl,0.5,0.15,20,1.0977932835820895e-05,1.2790562425639446e-07,1.099524577114428e-05,1.2702873334221436e-07,1.7312935323384312e-08,1.802668794064661e-07,1.0015770669744757,0.0164338826293993
Standard,1,1,KCl,0.5,0.125,20,1.117578208955224e-05,1.195005697794448e-07,1.1109591542288558e-05,9.860064542440637e-08,-6.619054726368138e-08,1.5492731668663689e-07,0.9940773230246176,0.0138139819954422
Standard,1,1,KCl,0.5,0.11,20,1.1251700497512436e-05,1.2671147402564318e-07,1.1139960696517412e-05,1.281861283349821e-07,-1.117398009950237e-07,1.802428393786109e-07,0.9900690743572736,0.0159407405258993
Standard,1,1,KCl,0.5,0.105,20,1.1171154228855722e-05,1.250903449292845e-07,1.1086935323383086e-05,1.3320036072030717e-07,-8.421890547263617e-08,1.827291177961173e-07,0.9924610381570872,0.0162995541733054
Standard,1,1,KCl,0.5,0.25,50,1.0699419900497514e-05,1.2569353007211628e-07,1.0636132338308458e-05,1.2749455007569904e-07,-6.328756218905635e-08,1.790355378158061e-07,0.9940849538780964,0.0166844890265104
Standard,1,1,KCl,0.5,0.15,50,1.0961741293532338e-05,1.3513233934302498e-07,1.0842891542288558e-05,1.4088397842944905e-07,-1.1884975124378053e-07,1.952153798101675e-07,0.9891577671775648,0.0177165337011288
Standard,1,1,KCl,0.5,0.125,50,1.1159106965174127e-05,6.563411956630329e-08,1.0871476616915422e-05,1.276024055435381e-07,-2.876303482587067e-07,1.434928972170447e-07,0.9742246087293224,0.0127901826407951
Standard,1,1,KCl,0.5,0.11,50,1.1083436815920395e-05,1.2834949800373593e-07,1.0875624378109452e-05,1.2423845440416726e-07,-2.078124378109435e-07,1.7863030871200828e-07,0.9812501806738828,0.015961573030449
Standard,1,1,KCl,0.5,0.105,50,1.1099273134328356e-05,1.2062607999361865e-07,1.0856292039800992e-05,1.345795936846238e-07,-2.42981094527363e-07,1.8072719278223e-07,0.9781083777661206,0.0161249716134032
Standard,1,1,KCl,-0.8,0.25,10,1.0088367164179103e-05,1.2795855503411228e-07,1.0264452189054728e-05,1.2817536714667172e-07,1.760850248756218e-07,1.8111409815252385e-07,1.0174542641053796,0.0181098549738757
Standard,1,1,KCl,-0.8,0.15,10,1.1516630845771144e-05,1.231478414093445e-07,1.106493184079602e-05,1.2717128048853872e-07,-4.516990049751243e-07,1.770252112691174e-07,0.9607785461716882,0.0150825228941525
Standard,1,1,KCl,-0.8,0.125,10,1.1609674626865673e-05,1.236072829690268e-07,1.1154550746268656e-05,1.3215403138739405e-07,-4.551238805970154e-07,1.809515084626967e-07,0.9607978780435564,0.0153041927866717
Standard,1,1,KCl,-0.8,0.11,10,1.1718089552238804e-05,1.3531173615137197e-07,1.124072736318408e-05,1.3126638525347008e-07,-4.773621890547224e-07,1.885209002678773e-07,0.9592627973248832,0.0157537951234935
Standard,1,1,KCl,-0.8,0.105,10,1.1653028855721393e-05,1.2521427220242929e-07,1.1246067164179104e-05,1.0694549554056928e-07,-4.0696169154228884e-07,1.646692229276679e-07,0.965076745575681,0.0138478225722537
Standard,1,1,KCl,-0.8,0.25,20,1.0285207512437811e-05,1.263846782398132e-07,1.0408091641791043e-05,1.2947285862987262e-07,1.2288412935323354e-07,1.8093177724095925e-07,1.0119476567881232,0.0176943199583481
Standard,1,1,KCl,-0.8,0.15,20,1.0999637810945271e-05,1.258942368148127e-07,1.0800247761194033e-05,1.4031460404199805e-07,-1.9939004975124202e-07,1.8851404979641922e-07,0.9818730349873124,0.0170003539512336
