Type	Electrolyte	Potential [V]	Period [s]	A1_first [A]	A1_first [A]	A2_first [A]	A2_first [A]	Rat_first	Rat_first	A1_last [A]	A1_last [A]	A2_last [A]	A2_last [A]	Rat_last	Rat_last
				mean	std	mean	std	mean	std	mean	std	mean	std	mean	std
Standard	KCl	-0.8	1.6	4.2993072909698996e-05	5.270509652794549e-06	3.5995472909698994e-05	4.733278862243989e-06	0.8366762332425027	0.009518123494036896	-4.2829660423634345e-05	7.841087959380673e-06	-3.6372527090301e-05	6.334237973975223e-06	0.8500646715523911	0.017114180139732107
Standard	KCl	-0.8	2.1	4.41633417168339e-05	4.7724451842509105e-06	3.644257505016723e-05	4.018657196778454e-06	0.8250862270558387	0.006744366973630348	-4.246602494983277e-05	7.089401731479386e-06	-3.623139161649944e-05	5.534351615283952e-06	0.854521522265994	0.012229239888121538
Standard	KCl	-0.5	0.101	1.9918568444444444e-05	3.879075714000307e-06	1.0834835111111113e-05	2.4489499063683254e-06	0.5436265743153276	0.06658703745787674	-1.929731822222222e-05	3.0178040392599833e-06	-1.581638488888889e-05	2.3067717959801378e-06	0.8204590703730538	0.015296101594031006
Standard	KCl	-0.5	0.102	1.9377056711259753e-05	6.532818002759199e-07	1.2713256711259753e-05	2.8389497421443084e-06	0.6539750913709715	0.128804744448849	-1.8360629955406914e-05	1.8388514901260985e-06	-1.4271733288740248e-05	1.5098189698455665e-06	0.777885081314837	0.041195937981922115
Standard	KCl	-0.5	0.105	1.9585874777777776e-05	3.1133362299413504e-06	1.4269141444444444e-05	2.4806287636195253e-06	0.7275402357979774	0.0366195835597953	-1.912136522222222e-05	2.4504931698516164e-06	-1.4865571888888888e-05	1.7314858413779527e-06	0.7783220975391126	0.02575414524910567
Standard	KCl	-0.5	0.11	2.116337939799331e-05	3.439810927575943e-06	1.610494606465998e-05	1.8348689964432182e-06	0.7653437442224288	0.05442042967990527	-2.0003543935340022e-05	3.2348218960226867e-06	-1.6482920602006688e-05	2.611303063514657e-06	0.8242417418221478	0.012090233218587137
Standard	KCl	-0.5	0.12	2.2071075362318842e-05	2.559902048427566e-06	1.849087536231884e-05	2.545615815419568e-06	0.8364344531225084	0.022336677917773193	-2.124163797101449e-05	3.2389516836355525e-06	-1.7899797971014494e-05	2.5403892416623235e-06	0.8435496197399684	0.008814417485026345
Standard	KCl	-0.5	0.14	2.2552400066666664e-05	3.3718213585625894e-06	1.8578766733333332e-05	2.9576797455419115e-06	0.8230558800886514	0.00837098588232055	-2.1582809933333333e-05	3.291465680248318e-06	-1.84675066e-05	2.175987903368689e-06	0.8586691634193379	0.03212465078289813
Standard	KCl	-0.5	0.15	2.3689487222222223e-05	4.3549583754173875e-06	2.0550320555555554e-05	3.0489225682705024e-06	0.8710233234587967	0.029601355136307607	-2.2241842777777778e-05	3.3400637039616087e-06	-1.9817939444444444e-05	3.1821833248745826e-06	0.8901343648808924	0.009216310886782817
Standard	KCl	-0.5	0.18	2.9057959311111112e-05	4.47740596322501e-06	2.666185931111111e-05	3.355053686731337e-06	0.9200345445228254	0.024321496603605986	-2.724460735555555e-05	4.454245002291831e-06	-2.5702840688888887e-05	4.003996557835628e-06	0.9447879121006615	0.056642986534993646
Standard	KCl	-0.5	0.2	2.9735840533333333e-05	5.127808717387534e-06	2.7991407199999997e-05	3.5209420858072814e-06	0.9467072096383924	0.059003349303156795	-2.76594928e-05	4.876281786769057e-06	-2.5835559466666665e-05	4.355276124155118e-06	0.9348231363251015	0.010131222663856696
Standard	KCl	-0.5	0.3	2.8270329900000003e-05	2.307101772806641e-06	3.0495563233333334e-05	5.449352956733872e-06	1.0736311284688398	0.10616966919598983	-1.4613236766666666e-05	3.4227424126433384e-06	-2.692360343333333e-05	2.8455952811109423e-06	1.8855205662118681	0.285699334124141
Standard	KCl	-0.5	0.5	1.687495454444444e-05	3.7976250486398157e-06	2.1818154544444445e-05	3.977653446406547e-06	1.3005094732976896	0.050825042035541536	-1.1409441788888889e-05	1.7780074637016931e-06	-1.4004232122222224e-05	1.8393178003223855e-06	1.24264974334773	0.21292917149745794
Standard	KCl	-0.5	0.6	1.5746384827201787e-05	3.3818300876879825e-06	1.854785149386845e-05	4.440287756545909e-06	1.1746846107300168	0.060601719940935	-1.421485850613155e-05	1.8018533970337518e-06	-1.050346850613155e-05	3.759189164795709e-06	0.7277338563367882	0.2048893418087514
Standard	KCl	-0.5	0.85	1.8755934214046822e-05	3.6161096234017476e-06	1.526710088071349e-05	3.5196926403757382e-06	0.8104917857488387	0.0337127761483133	-1.789297245261984e-05	2.4063281535044053e-06	-1.3605412452619843e-05	1.5114944652435774e-06	0.7619784347302866	0.01917585227205315
Standard	KCl	-0.5	1.1	2.3492883545150503e-05	3.2121243515445436e-06	1.98887835451505e-05	2.372190917378799e-06	0.8478812960277993	0.0142523475299402	-2.14410764548495e-05	3.806545793585261e-06	-1.8731073121516164e-05	2.7905658075874662e-06	0.8770189536063885	0.04120509016487858
Standard	KCl	-0.5	1.6	2.3717898929765887e-05	3.1911152613978823e-06	1.9942965596432554e-05	2.3399368651618397e-06	0.8421176523588735	0.02005592665588908	-2.191141440356745e-05	3.084638078098377e-06	-1.936432773690078e-05	2.907860417681247e-06	0.8831509164621717	0.015541527950508897
Standard	KCl	-0.5	2.1	2.5119253600891864e-05	6.018184911589879e-06	2.42887869342252e-05	1.1708927536296764e-05	0.933719352892194	0.21862315943144453	-1.838815639910814e-05	1.3340371157406807e-06	-2.0414733065774805e-05	6.834192239495053e-06	1.130931098893036	0.46364062284971075
Standard	KCl	0.5	0.101	-2.6123757399999998e-05	5.5717049958035445e-06	-1.8494364066666665e-05	2.416300127832533e-06	0.7175563045100031	0.08053225506731902	2.88754426e-05	3.1907014833610175e-06	2.8760209266666664e-05	3.0686845285304566e-06	0.9965760706750032	0.0266731933418614
Standard	KCl	0.5	0.102	-2.6051438472686733e-05	5.016382405085244e-06	-2.1652665139353397e-05	4.145846594939634e-06	0.8330107031697116	0.056229232483740475	2.94801948606466e-05	3.4857095112825293e-06	2.8995394860646597e-05	3.5745978133882795e-06	0.9831901393840171	0.010420983748728189
Standard	KCl	0.5	0.105	-2.622848307777778e-05	4.768512908492289e-06	-2.3486616411111114e-05	3.932440510429003e-06	0.8972284703903238	0.021554462357678505	2.8905850255555556e-05	3.648466096289235e-06	2.8993283588888888e-05	3.2518391696140905e-06	1.0043552900494372	0.02500312245779069
Standard	KCl	0.5	0.11	-2.644656500557414e-05	3.7757403745936018e-06	-2.5329965005574135e-05	5.528641307260122e-06	0.9523149505205323	0.08640711275925533	2.9605634994425865e-05	3.4640646860427896e-06	2.9319534994425868e-05	3.2779076825218207e-06	0.9907894781986091	0.01649262238576374
Standard	KCl	0.5	0.12	-2.636021284280936e-05	3.909891696929619e-06	-2.633237950947603e-05	4.756942023720256e-06	0.9968897075182204	0.06493331105305518	2.9461520490523966e-05	3.5337701593897734e-06	2.9294620490523963e-05	3.563032673484773e-06	0.9942037043273664	0.006242838701200926
Standard	KCl	0.5	0.14	-2.820933537777778e-05	4.930448232881263e-06	-2.7068902044444445e-05	5.483021478104301e-06	0.9594556350790896	0.08108415788081952	3.055293128888889e-05	3.8521794580597505e-06	3.035423128888889e-05	3.6917699674913197e-06	0.9939068373669971	0.010820949421929092
Standard	KCl	0.5	0.15	-2.8624801655555556e-05	5.326728801356414e-06	-2.7627434988888888e-05	5.470570992080052e-06	0.9648646625430232	0.045298395768454396	3.111099834444444e-05	3.938354972592821e-06	3.111099834444444e-05	3.980262997903942e-06	1.0003242055288961	0.031514861781780416
Standard	KCl	0.5	0.18	-1.2258557833333333e-05	5.13829591791741e-06	-1.2147284499999999e-05	4.2947418498972334e-06	1.0098514590964818	0.06787378459119243	1.3478708833333333e-05	2.4286127450226318e-06	1.4337042166666665e-05	2.647199499518253e-06	1.0631730827464432	0.0069615416930437395
Standard	KCl	0.5	0.2	-1.2095226388888884e-05	3.2432103866284073e-06	-1.1725681055555554e-05	3.7920085540524578e-06	0.9594501654662629	0.08666397835665009	1.366987227777778e-05	1.3623849715193903e-06	1.3097672277777779e-05	1.5870949240111286e-06	0.9568457082917811	0.02269442445573751
Standard	KCl	0.5	0.3	-2.054445934444444e-05	2.2129971557806643e-06	-2.0778899344444443e-05	3.0193211858300175e-06	1.0095921225366034	0.05798559717549334	2.335634732222222e-05	1.4369397731708172e-06	2.309804732222222e-05	1.6241902748621738e-06	0.9886037453714632	0.009962146369676815
Standard	KCl	0.5	0.5	-2.456631044444444e-05	4.054670225477129e-06	-2.4395443777777776e-05	4.718922504399315e-06	0.9902137819608517	0.02807464232641788	2.7627489555555557e-05	3.3739534955435793e-06	2.6566522888888888e-05	3.3857046999330142e-06	0.9611959681860723	0.011377860137031721
Standard	KCl	0.5	0.6	-2.470304952720178e-05	3.3427837934909636e-06	-2.5044782860535115e-05	3.420547189704476e-06	1.0138025738543635	0.009007994031215185	2.7435150472798217e-05	2.825410928990877e-06	2.7721217139464884e-05	2.679485516492713e-06	1.0109978314123012	0.018779803796191243
Standard	KCl	0.5	0.85	-2.6877572274247498e-05	6.2147254256244354e-06	-2.676633894091416e-05	4.764666461477561e-06	1.0035661608183952	0.05147742410883729	3.0084594392419174e-05	3.959971622921873e-06	2.9973361059085844e-05	4.464609185147379e-06	0.9948552370128046	0.02274261126443027
Standard	KCl	0.5	1.1	-2.824329835005574e-05	4.898694729346544e-06	-2.8358565016722406e-05	5.962966673727733e-06	1.000342578709445	0.05368049273280712	3.0721568316610934e-05	3.847408588073503e-06	3.069376831661093e-05	4.1363818602852415e-06	0.9983717962605048	0.01086831918420039
