Type,Chip,Disp,Electrolyte,Width [s],Interval [s],Train pulses #,Resistor,Measure #,Polarization,IDSmed [A],Std IDS [A],delIDS [A],Std delIDS [A],Gn [S],Std Gn [S]
Standard,2,1,KCl,0.1,0.1,40,0,75,pos,5.476575965572423e-06,5.1805924334664335e-08,-3.264279836334234e-09,7.37959620311034e-08,8.098091205951621e-07,6.965486288805507e-07
Standard,2,1,KCl,0.1,0.1,40,0,76,pos,5.474591931818974e-06,5.3671067152268985e-08,-1.984033753449505e-09,7.459515564319397e-08,9.366446585542802e-07,6.923886998621217e-07
Standard,2,1,KCl,0.1,0.1,40,0,77,pos,5.477759664658647e-06,5.3265481307981794e-08,3.16773283967358e-09,7.561610244011737e-08,6.347664838609877e-07,7.533838847857419e-07
Standard,2,1,KCl,0.1,0.1,40,0,78,pos,5.4736562312675895e-06,5.1909952331815453e-08,-4.103433391057909e-09,7.437643881003116e-08,7.870993137611582e-07,6.94084788844236e-07
Standard,2,1,KCl,0.1,0.1,40,0,79,pos,5.481059274230078e-06,5.113424188282352e-08,7.403042962488564e-09,7.286531303729132e-08,8.536761175264543e-07,7.123463358195362e-07
Standard,2,1,KCl,0.1,0.1,40,0,80,pos,5.480251870308579e-06,5.179332943210221e-08,-8.07403921498917e-10,7.278227577228794e-08,6.845620087338918e-07,6.668226334466791e-07
Standard,2,1,KCl,0.1,0.1,40,0,81,neg,5.4032458468679e-06,4.1603195658440424e-08,-7.700602344067884e-08,6.643323612964177e-08,-5.7912008844132976e-08,5.888341611161679e-07
Standard,2,1,KCl,0.1,0.1,40,0,82,neg,5.40795650026253e-06,4.116029561401938e-08,4.710653394629825e-09,5.852346387585017e-08,8.06568629240108e-09,6.10947680346357e-07
Standard,2,1,KCl,0.1,0.1,40,0,83,neg,5.413743362871835e-06,4.1678686998290775e-08,5.78686260930468e-09,5.8577153267591924e-08,4.864642424683694e-09,6.165052954783865e-07
Standard,2,1,KCl,0.1,0.1,40,0,84,neg,5.416793696481777e-06,4.060778568359303e-08,3.0503336099418156e-09,5.819025011138992e-08,2.632169682068971e-07,5.642631083362961e-07
Standard,2,1,KCl,0.1,0.1,40,0,85,neg,5.420727691009894e-06,4.169895705016152e-08,3.933994528117782e-09,5.82047702271544e-08,3.182057431879549e-07,6.217742316472023e-07
Standard,2,1,KCl,0.1,0.1,40,0,86,neg,5.424343536023199e-06,4.21769607878726e-08,3.615845013304391e-09,5.9310193393488095e-08,4.883892765265673e-07,5.884104189704126e-07
Standard,2,1,KCl,0.1,0.1,40,0,87,neg,5.426597619423939e-06,4.156449748484125e-08,2.254083400740126e-09,5.921573669616143e-08,6.321207017540828e-07,6.041724024201311e-07
Standard,2,1,KCl,0.1,0.1,40,0,88,neg,5.432363848905714e-06,4.26836346726029e-08,5.766229481774775e-09,5.957768139187361e-08,6.271934212294649e-07,5.795496549621226e-07
Standard,2,1,KCl,0.1,0.1,40,0,89,neg,5.429419566512066e-06,4.1178513846381256e-08,-2.944282393647465e-09,5.930904375776801e-08,6.131107440129817e-07,5.833592775821685e-07
Standard,2,1,KCl,0.1,0.1,40,0,90,neg,5.4348129362386485e-06,4.0404387885461816e-08,5.393369726582284e-09,5.769042002789948e-08,6.852974840379232e-07,6.215008195959837e-07
Standard,2,1,KCl,0.1,0.1,40,0,91,neg,5.435478926136222e-06,4.1784897512535147e-08,6.65989897573736e-10,5.812479867089365e-08,7.249749366060643e-07,5.876017530846085e-07
Standard,2,1,KCl,0.1,0.1,40,0,92,neg,5.437857862489182e-06,3.8975472743893214e-08,2.3789363529594803e-09,5.71407484702732e-08,5.137905521022967e-07,5.517425538928007e-07
Standard,2,1,KCl,0.1,0.1,40,0,93,neg,5.4405882730696415e-06,4.0693526485362017e-08,2.730410580459797e-09,5.634758711271338e-08,4.00238945466789e-07,6.004372912922124e-07
