Type	Chip	Disp	Electrolyte	Potential [V]	Period [s]	A1_first [A]	A2_first [A]	Rat_first	A1_last [A]	A2_last [A]	Rat_last
Bicamada	2	1	KCl	0.5	0.11	-1.9587917725752506e-05	-1.8312417725752504e-05	0.9348833286999628	2.16442822742475e-05	2.16442822742475e-05	1.0
Bicamada	2	1	KCl	0.5	0.105	-2.1120069999999992e-05	-1.914117e-05	0.9063023938841114	2.3661930000000014e-05	2.3661930000000014e-05	1.0
Bicamada	2	1	KCl	0.5	0.102	-2.0945263545150503e-05	-1.7357063545150495e-05	0.8286868058611375	2.4657836454849508e-05	2.365783645484951e-05	0.9594449414963444
Bicamada	2	1	KCl	0.5	0.101	-2.1137680999999987e-05	-1.1815480999999995e-05	0.5589771649974282	2.3548919000000013e-05	2.3548919000000013e-05	1.0
Bicamada	2	1	KCl	-0.8	2.1	3.559504180602006e-05	2.9595041806020065e-05	0.8314371975541481	-3.3680058193979945e-05	-2.880435819397994e-05	0.8552348107025688
Bicamada	2	1	KCl	-0.8	1.6	3.059332909698997e-05	2.459332909698997e-05	0.8038788135485939	-2.9235270903010027e-05	-2.401387090301003e-05	0.8214006630100216
Bicamada	2	1	KCl	-0.8	1.1	3.0462279264214043e-05	2.446227926421405e-05	0.8030350930749763	-2.885372073578596e-05	-2.388272073578596e-05	0.8277171930261771
Bicamada	2	1	KCl	-0.8	0.85	2.44824137123746e-05	2.7482413712374585e-05	1.1225369375440153	-2.523348628762541e-05	-1.5732486287625406e-05	0.6234765227562183
Bicamada	2	1	KCl	-0.8	0.6	2.860803812709032e-05	4.360803812709031e-05	1.5243281602661096	-1.6715461872909688e-05	-2.699136187290969e-05	1.6147541765898723
Bicamada	2	1	KCl	-0.8	0.5	2.959624600000001e-05	4.4596246e-05	1.5068210339919454	-1.698955399999999e-05	-2.5977953999999988e-05	1.5290545001946492
Bicamada	2	1	KCl	-0.8	0.3	4.8617108666666674e-05	4.561710866666668e-05	0.9382933275491786	-4.008339133333333e-05	-4.231259133333333e-05	1.0556140567414063
Bicamada	2	1	KCl	-0.8	0.2	4.060741366666666e-05	3.760741366666667e-05	0.9261218647258346	-3.845988633333334e-05	-3.401338633333334e-05	0.8843860337635424
