Type,Electrolyte,Measure,Sweep,VGSmin [V],VGSmin [V],IDSmin [A],IDSmin [A],IDSmax [A],IDSmax [A],Ronoff,Ronoff,Res [ohm],Res [ohm],IDS(-0.6V) [A],IDS(-0.6V) [A],IDS(+0.6V) [A],IDS(+0.6V) [A],VGS min |gm| [V],VGS min |gm| [V],min |gm| [S],min |gm| [S],VGS min gm [V],VGS min gm [V],min gm [S],min gm [S],VGS max gm [V],VGS max gm [V],max gm [S],max gm [S]
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Enode,MgCl2,140,2,0.12666666666666668,0.05033222956847166,1.0332453333333333e-05,5.734628708411151e-07,2.087593333333333e-05,1.3789718827203606e-06,2.020001950957926,0.04891515788276539,9411.62234462152,491.18514361035614,2.087593333333333e-05,1.3789718827203606e-06,1.2785976666666668e-05,1.110343919528239e-06,0.13333333333333333,0.050332229568471665,1.6797499999998038e-07,1.2417971603688256e-07,-0.54,0.034641016151377574,-2.4462250000000137e-05,2.2314457617204767e-06,0.56,0.019999999999999976,8.14533333333334e-06,1.3803356551337156e-06
Enode,MgCl2,150,1,0.12666666666666668,0.06110100926607787,1.0212932333333334e-05,6.056792219123367e-07,1.6956053333333333e-05,1.460660239629098e-06,1.6596377474424093,0.0851540094913594,9514.302454221977,562.5118965296762,1.4698920000000002e-05,1.322083667284338e-06,1.267189e-05,1.0644528586555629e-06,0.12666666666666668,0.06110100926607787,2.7461666666665557e-07,9.471135535577553e-08,-0.37333333333333335,0.011547005383792533,-1.574591666666666e-05,1.6495376688131083e-06,-0.6,0.0,8.393449999999987e-05,1.046029902775245e-05
Enode,MgCl2,151,1,0.32,0.0529150262212918,1.0743433333333335e-05,6.592337356608302e-07,2.1303023333333335e-05,2.0165512665522137e-06,1.9816700130598386,0.11035996076914328,7973.645050665124,618.5566780731087,1.8239466666666667e-05,2.0434272803878624e-06,1.1884056666666668e-05,9.540112025198303e-07,0.32,0.0529150262212918,2.2816666666666328e-07,1.4030019897823955e-07,-0.3666666666666667,0.023094010767585025,-1.9132499999999983e-05,1.7403493902087558e-06,-0.6,0.0,0.0001226104999999,1.3928117864593193e-05
Enode,MgCl2,152,1,0.19333333333333336,0.030550504633038943,1.0375541e-05,7.085052722125648e-07,1.6768223333333336e-05,1.4297844650622448e-06,1.6152638219697062,0.04613308951202354,9195.975662358525,624.9841988165564,1.4854679999999999e-05,1.2811097218037192e-06,1.194721e-05,1.0410358482300216e-06,0.19333333333333336,0.030550504633038943,8.772500000000883e-08,7.122005072308301e-08,-0.39333333333333337,0.011547005383792533,-1.3741916666666675e-05,1.4177112790810025e-06,-0.6,0.0,7.564933333333322e-05,1.2611081092964766e-05
Enode,MgCl2,210,2,0.14,0.0,8.110962333333333e-06,1.4328790153381174e-06,1.86085e-05,2.3454290835367412e-06,2.3097499173255867,0.1316872343641089,11996.205219092059,2185.81975095886,1.86085e-05,2.3454290835367412e-06,1.0475666666666667e-05,1.6573369715399864e-06,0.1466666666666667,0.011547005383792509,2.2908333333336245e-07,1.341516407217279e-07,-0.5333333333333333,0.057735026918962595,-2.288141666666666e-05,3.0252580916069705e-06,0.5933333333333333,0.011547005383792535,8.056783333333352e-06,7.935090836488894e-07
Enode,MgCl2,230,2,0.15333333333333335,0.011547005383792512,8.068877666666667e-06,1.4553570698547942e-06,1.8058480000000002e-05,2.523139659293555e-06,2.2509980580528555,0.11586215383216453,12036.328361929123,2387.495621713594,1.8058480000000002e-05,2.523139659293555e-06,1.0280915666666666e-05,1.4848056002778047e-06,0.15333333333333335,0.011547005383792512,5.503333333334334e-08,3.130539423699762e-08,-0.54,0.03464101615137755,-2.222616666666666e-05,3.4522713658305037e-06,0.6,0.0,8.157400000000013e-06,7.055991284007914e-07
Enode,MgCl2,250,2,0.22666666666666666,0.011547005383792512,8.076894666666667e-06,1.3541290742304939e-06,1.803807666666667e-05,2.3721351651272596e-06,2.24337191840308,0.09067944749371092,11480.162383908553,2037.6311834128533,1.803807666666667e-05,2.3721351651272596e-06,9.521725666666667e-06,1.423846092801583e-06,0.22666666666666666,0.011547005383792512,1.3802499999999488e-07,8.7962523980414e-08,-0.5533333333333333,0.023094010767585018,-2.1245916666666666e-05,3.1812213882144774e-06,0.6,0.0,7.01528333333329e-06,4.726853507708559e-07
Standard,KCl,110,2,0.09999999999999999,0.020000000000000004,8.168324333333333e-06,1.050116106878346e-06,1.780519e-05,2.685519387437e-06,2.1766537803234165,0.12186924809189031,12096.770601542674,1546.7352225236998,1.780519e-05,2.685519387437e-06,1.0751643333333335e-05,1.2726795674612414e-06,0.09999999999999999,0.020000000000000004,1.1235833333331261e-07,1.2925242824930815e-07,-0.6,0.0,-2.7998833333333296e-05,4.151216849712044e-06,0.6,0.0,8.384383333333339e-06,7.688986382048847e-07
Standard,KCl,140,2,0.14,0.02,7.5889610000000005e-06,9.379468845851556e-07,1.641518e-05,1.7879723256527195e-06,2.1657747308328705,0.060956994908544934,12814.358360902328,1535.5141126175597,1.641518e-05,1.7879723256527195e-06,9.61307e-06,1.134878930811564e-06,0.14,0.02,7.447500000001707e-08,6.126036136851982e-08,-0.6,0.0,-2.621683333333327e-05,2.179485795625455e-06,0.6,0.0,7.800166666666692e-06,9.897848659346573e-07
Standard,KCl,150,1,0.12,0.02,7.510534333333334e-06,9.484880693009977e-07,1.6113453333333332e-05,1.6985677203553982e-06,2.1491755974318694,0.05683773586124108,13090.409069579406,1638.1370995453062,1.6113453333333332e-05,1.6985677203553982e-06,9.648588666666666e-06,1.087188070706414e-06,0.12,0.02,9.163333333332871e-08,4.7618905996815475e-08,-0.6,0.0,-7.332816666666658e-05,5.723814731744365e-06,0.6,0.0,7.854766666666661e-06,9.016707067069152e-07
