Type,Electrolyte,Measure,Sweep,VGSmin [V],VGSmin [V],IDSmin [A],IDSmin [A],IDSmax [A],IDSmax [A],Ronoff,Ronoff,Res [ohm],Res [ohm],IDS(-0.6V) [A],IDS(-0.6V) [A],IDS(+0.6V) [A],IDS(+0.6V) [A],VGS min |gm| [V],VGS min |gm| [V],min |gm| [S],min |gm| [S],VGS min gm [V],VGS min gm [V],min gm [S],min gm [S],VGS max gm [V],VGS max gm [V],max gm [S],max gm [S]
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Standard,KCl,410,9,0.02666666666666667,0.030550504633038933,6.617018666666667e-06,3.958102733052331e-06,1.2238356666666665e-05,5.676463872555989e-06,1.9684825441476816,0.3366536799292436,19056.7608950141,10675.724540536807,1.2238356666666665e-05,5.676463872555989e-06,9.294379e-06,4.426055428977703e-06,0.04,0.034641016151377546,8.896666666665168e-08,5.324850545628535e-08,-0.5599999999999999,0.06928203230275508,-3.953809999999999e-05,1.956342475660887e-05,0.6,0.0,8.093499999999991e-06,9.694362524168217e-07
Standard,KCl,410,10,0.05333333333333334,0.01154700538379251,6.623904666666667e-06,3.964440837385057e-06,1.2250983333333333e-05,5.6758332838300775e-06,1.9688546002788347,0.337044279061364,19049.13813027804,10685.258342838175,1.2250983333333333e-05,5.6758332838300775e-06,9.279474333333332e-06,4.429464632616038e-06,0.04666666666666667,0.023094010767585032,1.537249999999819e-07,1.481509217824661e-07,-0.5599999999999999,0.06928203230275508,-3.94122333333333e-05,1.980160003549795e-05,0.6,0.0,8.119383333333308e-06,1.0299656260445286e-06
Standard,KCl,410,11,0.04666666666666667,0.023094010767585032,6.6286956666666665e-06,3.965448447794566e-06,1.2277174333333332e-05,5.67178046956653e-06,1.972435921060273,0.3389866212922157,19039.929972186557,10693.414682124065,1.2277174333333332e-05,5.67178046956653e-06,9.265717666666666e-06,4.4301012821138e-06,-0.17333333333333334,0.3700450423034112,1.816416666666882e-07,1.804213546350679e-07,-0.5599999999999999,0.06928203230275508,-3.988093333333329e-05,2.010112040691595e-05,0.5933333333333333,0.011547005383792509,8.08994999999999e-06,1.0127931587940216e-06
Standard,KCl,410,12,0.05333333333333334,0.030550504633038936,6.633322000000001e-06,3.968575203051216e-06,1.2291385666666666e-05,5.675047361477816e-06,1.9739079328375453,0.34085496697721834,19023.608924440556,10699.201801737263,1.2291385666666666e-05,5.675047361477816e-06,9.249056666666667e-06,4.433165205418509e-06,0.05333333333333334,0.030550504633038936,1.327249999999991e-07,1.241691411945935e-07,-0.5666666666666667,0.05773502691896256,-3.984849999999994e-05,2.022564580730367e-05,0.5933333333333333,0.011547005383792535,8.062308333333307e-06,9.314582707820601e-07
Standard,KCl,410,13,0.06,0.034641016151377546,6.635564666666667e-06,3.974596745236721e-06,1.2321839000000001e-05,5.679505368512561e-06,1.9788492428348452,0.3409879628195211,19024.954974428343,10707.403585394415,1.2321839000000001e-05,5.679505368512561e-06,9.237190000000001e-06,4.4339209856885135e-06,0.05333333333333334,0.030550504633038936,1.4708333333333622e-07,1.3713205846312698e-07,-0.5599999999999999,0.06928203230275508,-4.0393199999999985e-05,2.03211857289996e-05,0.6,0.0,8.102333333333364e-06,1.0392523302034885e-06
Standard,KCl,410,14,0.05333333333333334,0.030550504633038936,6.628757666666666e-06,3.9696498691983315e-06,1.2323172333333332e-05,5.672839934898246e-06,1.98159955638343,0.3428132397737837,19020.6445817244,10707.589340728757,1.2323172333333332e-05,5.672839934898246e-06,9.226185333333334e-06,4.440425749663689e-06,0.05333333333333334,0.030550504633038936,1.7972500000001178e-07,1.3647916736631698e-07,-0.5599999999999999,0.06928203230275508,-4.005271666666663e-05,2.0121636022968707e-05,0.6,0.0,8.127816666666655e-06,1.0621024460160809e-06
Standard,KCl,410,15,0.05333333333333334,0.030550504633038936,6.637756666666668e-06,3.982537578213461e-06,1.2354883333333334e-05,5.677482356717044e-06,1.9854446194110744,0.3449869638593993,19023.850805605765,10725.380492110895,1.2354883333333334e-05,5.677482356717044e-06,9.212437666666666e-06,4.441159762680952e-06,0.05333333333333334,0.030550504633038936,1.631416666666613e-07,1.1520415664520985e-07,-0.5533333333333333,0.08082903768654759,-4.061208333333329e-05,2.0377403953787414e-05,0.6,0.0,8.13204999999997e-06,1.0528857737190576e-06
Standard,KCl,410,16,0.06666666666666667,0.023094010767585032,6.636283333333333e-06,3.97837477759981e-06,1.2364389000000001e-05,5.6623280347824245e-06,1.9881994117536215,0.34740682206745066,19013.834570508898,10718.354726844052,1.2362689e-05,5.659482860684621e-06,9.199183333333333e-06,4.442081868964409e-06,-0.17333333333333334,0.3700450423034112,2.0394166666667615e-07,6.053101649845832e-08,-0.5599999999999999,0.06928203230275508,-4.062106666666665e-05,2.0529413753522847e-05,0.5933333333333333,0.011547005383792509,8.126616666666664e-06,1.0535898826551642e-06
Standard,KCl,410,17,0.06,0.034641016151377546,6.639633333333333e-06,3.984819156736267e-06,1.2360445666666667e-05,5.6835037343839525e-06,1.985704769683147,0.34414062187520555,19008.613290869947,10724.914431665333,1.2360445666666667e-05,5.6835037343839525e-06,9.184609e-06,4.441291074202748e-06,0.06666666666666667,0.023094010767585032,1.3714166666666756e-07,7.091855510607905e-08,-0.5599999999999999,0.06928203230275508,-3.962703333333333e-05,1.9645769670996166e-05,0.5866666666666667,0.023094010767584987,8.121616666666686e-06,1.0121025816751036e-06
Standard,KCl,410,18,0.06666666666666667,0.023094010767585032,6.6391419999999996e-06,3.9884182383775904e-06,1.239717e-05,5.674658750700347e-06,1.9933201711070243,0.3466367010622612,19009.157244673344,10729.435590223133,1.239717e-05,5.674658750700347e-06,9.174751e-06,4.444971507306093e-06,0.06666666666666667,0.023094010767585032,1.3722499999999313e-07,9.970795166384778e-08,-0.5599999999999999,0.06928203230275508,-4.0706333333333286e-05,2.023438489380966e-05,0.6,0.0,8.216383333333318e-06,1.0720539938982955e-06
