Type,Electrolyte,Width [s],Interval [s],Train pulses #,Resistor,Measure #,Polarization,IDSmed [A],IDSmed [A],delIDS [A],delIDS [A],Gn [S],Gn [S]
,,,,,,,,mean,std,mean,std,mean,std
Standard,KCl,0.1,0.03,10,0,49,neg,6.707199010710003e-06,2.7201994568938886e-06,1.4250881955974686e-09,8.860856365695444e-10,7.272399983868883e-07,6.929447308253898e-07
Standard,KCl,0.1,0.03,10,0,50,neg,6.710964721416228e-06,2.724391913207692e-06,3.765710706224367e-09,4.201998392551622e-09,6.992421379950557e-07,7.878024453586482e-07
Standard,KCl,0.1,0.03,10,0,51,pos,6.828694826784463e-06,2.678018269555249e-06,1.1773010536823486e-07,8.543815897152296e-08,2.06413199375477e-06,7.690276354401734e-07
Standard,KCl,0.1,0.03,10,0,52,pos,6.815289253836454e-06,2.658295756358963e-06,-1.3405572948008635e-08,2.0146330961638146e-08,1.8307940114134953e-06,5.803495397638897e-07
Standard,KCl,0.1,0.03,10,0,53,pos,6.804056809528447e-06,2.6491576055671536e-06,-1.1232444308006678e-08,9.18896386650022e-09,1.6912039532336274e-06,5.76374436991618e-07
Standard,KCl,0.1,0.03,10,0,54,pos,6.7989325790070625e-06,2.643692723457629e-06,-5.124230521384258e-09,7.371756567362255e-09,1.6838368003673901e-06,4.5418965547213594e-07
Standard,KCl,0.1,0.03,10,0,55,pos,6.791372446931139e-06,2.6372480023904066e-06,-7.56013207592332e-09,6.592255054810137e-09,1.4313245219811423e-06,7.98205753810954e-07
Standard,KCl,0.1,0.03,10,0,56,pos,6.787465684017964e-06,2.6353836098800964e-06,-3.906762913175044e-09,2.231306149931662e-09,1.5072133367853417e-06,6.044134257454975e-07
Standard,KCl,0.1,0.03,10,0,57,pos,6.7822956187531735e-06,2.63145936698218e-06,-5.170065264792356e-09,4.338485710281677e-09,1.4384247330428737e-06,6.95886993668618e-07
Standard,KCl,0.1,0.03,10,0,58,pos,6.783648908973798e-06,2.6312813886442502e-06,1.3532902206255433e-09,1.7871477683594166e-10,1.4849049446410632e-06,6.250114576852276e-07
