Type,Electrolyte,Potential [V],Period [s],Pulses #,IDSant (2-3s) [A],IDSant (2-3s) [A],"IDSdep (+3, +4s) [A]","IDSdep (+3, +4s) [A]",delIDS [A],delIDS [A],RatioIDS,RatioIDS
,,,,,mean,std,mean,std,mean,std,mean,std
Enode,KCl,-0.5,0.105,20,8.074916451077945e-06,4.563416692822438e-07,8.268953134328358e-06,4.3795118929060694e-07,1.940366832504127e-07,3.9834603372746994e-08,1.024174443152159,0.0056233712307852575
Enode,KCl,-0.5,0.105,50,8.085789767827528e-06,5.146029961471307e-07,8.401111459369818e-06,5.097443312770548e-07,3.153216915422882e-07,5.092473090130233e-09,1.03913312469517,0.0032122335873543645
Enode,KCl,-0.5,0.11,10,8.221091310116086e-06,5.77722834058988e-07,8.318435970149253e-06,4.730416753403513e-07,9.734466003316696e-08,1.1146956162170573e-07,1.0125128998491266,0.014902277822984438
Enode,KCl,-0.5,0.11,20,8.085256019900497e-06,5.147081717633846e-07,8.270791608623548e-06,5.116514149137943e-07,1.8553558872305116e-07,8.468096966517297e-09,1.023029221174945,0.0021508092644619537
Enode,KCl,-0.5,0.11,50,8.10310776119403e-06,4.845804208019516e-07,8.421809933665008e-06,4.3362746492307063e-07,3.1870217247097923e-07,5.8353019608747375e-08,1.0396914978916107,0.0095769104252275
Enode,KCl,-0.5,0.125,10,8.174653217247098e-06,4.789789593676005e-07,8.229414195688226e-06,4.495076655800297e-07,5.476097844112813e-08,2.976931079363383e-08,1.0068608261573182,0.004171684045607605
Enode,KCl,-0.5,0.125,20,8.005130762852405e-06,5.191372827415149e-07,8.180623449419568e-06,5.252436495594969e-07,1.754926865671639e-07,8.47974550106233e-09,1.0219524013221237,0.000992747378673329
Enode,KCl,-0.5,0.125,50,8.084010663349916e-06,5.044640167948645e-07,8.361731061359868e-06,5.183008101173101e-07,2.777203980099511e-07,3.9090811574755866e-08,1.034378287455624,0.004459328413098862
Enode,KCl,-0.5,0.15,10,8.005190199004975e-06,5.177237395289598e-07,8.078178490878939e-06,4.87476491379172e-07,7.298829187396235e-08,6.186066734609337e-08,1.0093270516696584,0.007925876841252002
Enode,KCl,-0.5,0.15,20,7.943747263681592e-06,5.30695939340742e-07,8.13171393034826e-06,5.80902200948429e-07,1.8796666666666687e-07,5.3277435295587616e-08,1.0234437788365678,0.005399564397572085
Enode,KCl,-0.5,0.15,50,7.96869606965174e-06,5.181990097105902e-07,8.20984255389718e-06,4.7374012344900944e-07,2.411464842454394e-07,5.0877299884786965e-08,1.030606081761251,0.008443477533731963
Enode,KCl,-0.5,0.25,10,7.922534245439469e-06,5.410396519592348e-07,7.969150431177446e-06,5.34462873900671e-07,4.661618573797632e-08,6.627290304761234e-09,1.005942537248563,0.00129074915087995
Enode,KCl,-0.5,0.25,20,7.807595373134328e-06,5.153737135411226e-07,7.94971751243781e-06,5.48977417191879e-07,1.4212213930348217e-07,5.420796836260857e-08,1.0180705434850332,0.0061985218983878045
Enode,KCl,-0.5,0.25,50,7.851048358208956e-06,5.40222182936045e-07,8.095713963515754e-06,5.748497161725595e-07,2.446656053067985e-07,4.9286824067000776e-08,1.0310629852083453,0.004932602933158987
Enode,KCl,0.5,0.105,10,8.212155339966832e-06,4.5854282036331714e-07,8.168188291873963e-06,4.4401057070639956e-07,-4.396704809286851e-08,3.265350156729907e-08,0.9947054301911725,0.003738449863693881
Enode,KCl,0.5,0.105,20,8.059239585406302e-06,4.1828980318173716e-07,8.082290812603648e-06,4.3725271327770655e-07,2.3051227197346294e-08,4.719263375403339e-08,1.0027910470922907,0.005682640284084904
Enode,KCl,0.5,0.105,50,8.1090779933665e-06,5.225068269172639e-07,8.061849104477611e-06,5.188010725682733e-07,-4.722888888888815e-08,4.587714965032974e-08,0.9941885320496269,0.005422640724470905
Enode,KCl,0.5,0.11,10,8.165658258706467e-06,5.237327785010751e-07,8.161071708126037e-06,5.364172984926466e-07,-4.586550580431208e-09,2.400643992253543e-08,0.9993688110131888,0.002941635132169525
Enode,KCl,0.5,0.11,20,8.035259386401327e-06,4.6808558820692574e-07,8.07054784411277e-06,4.919717821295726e-07,3.528845771144245e-08,5.629369732860136e-08,1.0042960760693689,0.006749364256617903
Enode,KCl,0.5,0.11,50,8.129164029850747e-06,4.314330542299484e-07,8.073414361525705e-06,4.602266465643932e-07,-5.574966832504218e-08,3.579943839070946e-08,0.9930015814246979,0.004755753821170786
Enode,KCl,0.5,0.125,10,8.021440729684908e-06,5.678244156288406e-07,8.077763582089552e-06,5.574193538651603e-07,5.632285240464411e-08,2.381465397133789e-08,1.007113390505135,0.003212003268371552
Enode,KCl,0.5,0.125,20,7.954323499170813e-06,4.983988443111845e-07,7.93785552238806e-06,4.720105612532698e-07,-1.6467976782752945e-08,2.8983754354263924e-08,0.9980690900509215,0.0036269991102158942
