Type	Chip	Disp	Electrolyte	Measure	Sweep	VGSmin [V]	IDSmin [A]	IDSmax [A]	Ronoff	Res [ohm]	IDS(-0.6V) [A]	IDS(+0.6V) [A]	VGS min |gm| [V]	min |gm| [S]	VGS min gm [V]	min gm [S]	VGS max gm [V]	max gm [S]
Standard	2	3	KCl	150	1	0.14	7.28897e-06	1.603433e-05	2.199807380192263	13234.498101511248	1.603433e-05	9.107273e-06	0.14	8.77499999999993e-08	-0.6	-6.839299999999984e-05	0.6	6.967299999999977e-06
Standard	2	3	KCl	151	1	0.28	7.60496e-06	1.95344e-05	2.568639414276998	11372.376293280848	1.95344e-05	8.531063e-06	0.28	2.373500000000021e-07	-0.6	-7.23015e-05	0.6	5.280150000000046e-06
Standard	2	3	KCl	152	1	0.18	7.283627e-06	1.497393e-05	2.055834270480902	13132.183304267435	1.497393e-05	8.512523e-06	0.18	4.9174999999990936e-08	-0.6	-7.067299999999992e-05	0.6	5.260000000000009e-06
Standard	2	3	KCl	110	2	0.12	7.984207e-06	1.838717e-05	2.30294254645452	12114.339986528856	1.838717e-05	1.022087e-05	0.12	2.639999999992236e-08	-0.6	-3.0183499999999983e-05	0.6	7.578499999999992e-06
Standard	2	3	KCl	140	2	0.16	7.352763e-06	1.640927e-05	2.2317147989130075	12985.39402879641	1.640927e-05	9.05057e-06	0.16	8.949999999999976e-08	-0.6	-2.6678499999999928e-05	0.6	6.82615000000003e-06
Standard	2	3	KCl	330	2	0.08	3.209293e-06	6.88269e-06	2.1446125361567177	30567.485365816385	6.88269e-06	4.773143e-06	0.1	1.3117500000002166e-07	-0.6	-1.279934999999999e-05	0.6	5.803499999999998e-06
Standard	2	3	KCl	310	2	0.06	4.060597e-06	9.871623e-06	2.431076760387697	24380.016188330752	9.871623e-06	6.342633e-06	0.06	1.5175000000001765e-07	-0.6	-1.7949500000000005e-05	0.6	6.994799999999995e-06
Enode	1	2	KCl	230	2	0.1	7.962813e-06	1.75434e-05	2.203166142417259	12276.476062099327	1.75434e-05	1.086657e-05	0.1	3.955749999999645e-07	-0.56	-2.199675000000008e-05	0.6	8.804999999999986e-06
Enode	1	2	KCl	250	2	0.14	8.043093e-06	1.724837e-05	2.144494661444297	11892.873278937708	1.724837e-05	1.024113e-05	0.14	2.657499999998204e-08	-0.6	-2.124850000000005e-05	0.6	8.051499999999962e-06
Enode	1	2	KCl	210	2	0.14	7.910383e-06	1.904723e-05	2.40787709014848	12024.241351534349	1.904723e-05	1.058367e-05	0.14	3.105999999999899e-07	-0.56	-2.401250000000002e-05	0.6	8.819999999999934e-06
Enode	1	2	KCl	110	2	0.14	1.26335e-05	2.73168e-05	2.1622511576364425	7541.176710131496	2.73168e-05	1.531667e-05	0.14	3.8324999999998994e-07	-0.56	-2.8974250000000164e-05	0.56	8.596750000000022e-06
Enode	1	2	KCl	151	1	0.3	1.20698e-05	2.374567e-05	1.9673623423751845	7275.759280049068	2.298303e-05	1.321877e-05	0.3	2.4075000000002306e-07	-0.4	-2.146349999999984e-05	-0.6	3.813200000000003e-05
Enode	1	2	KCl	150	1	0.12	1.166957e-05	1.955313e-05	1.6755655949619397	8346.8482718268	1.884303e-05	1.41445e-05	0.12	1.375000000000508e-07	-0.4	-1.7802499999999984e-05	-0.6	3.117699999999986e-05
Enode	1	2	KCl	152	1	0.16	1.165867e-05	1.842443e-05	1.5803200536596371	8318.865439855852	1.8191e-05	1.344783e-05	0.16	1.2349999999999297e-07	-0.42	-1.4877500000000062e-05	-0.6	1.1671500000000103e-05
Enode	1	2	KCl	140	2	0.12	1.17955e-05	2.319423e-05	1.966362595905218	8234.498761943112	2.319423e-05	1.42148e-05	0.12	2.557500000000424e-07	-0.6	-2.838300000000008e-05	0.6	8.249999999999957e-06
