Type	Chip	Disp	Electrolyte	Potential [V]	Width [s]	VDS [V]	IDSant (5sp 1sa) [A]	Std IDSant [A]	IDSdep (5sp 10sd) [A]	Std IDSdep [A]	delIDS [A]	Std del IDS [A]	RatioIDS	Std RazIDS
Standard	1	1	KCl	0.4	0.1	0.1	6.317664451097804e-06	4.967310013224564e-08	6.375508243512973e-06	5.250368789436217e-08	5.7843792415169134e-08	7.227761838395544e-08	1.0091558823459068	0.0114901534752393
Standard	1	1	KCl	-0.4	0.1	0.1	6.348597325349302e-06	5.120079452930336e-08	6.367656467065868e-06	4.950428251064152e-08	1.9059141716565595e-08	7.121934672071452e-08	1.0030021027858331	0.0112355419379739
Standard	1	1	KCl	0.5	0.1	0.1	6.303173652694611e-06	5.657165303604934e-08	6.311596846307385e-06	5.314731156356207e-08	8.423193612774505e-09	7.76208003931001e-08	1.0013363416711791	0.0123233025274406
Standard	1	1	KCl	-0.5	0.1	0.1	6.374747125748503e-06	4.909700405648146e-08	6.374247185628743e-06	4.85138732803667e-08	-4.99940119760749e-10	6.902254492544907e-08	0.999921574909577	0.0108270657220543
Standard	1	1	KCl	0.6	0.1	0.1	6.371391956087824e-06	5.249208603747877e-08	6.379363213572855e-06	5.4058420005141604e-08	7.971257485030539e-09	7.535072574314309e-08	1.0012511014139405	0.0118335979259865
Standard	1	1	KCl	-0.6	0.1	0.1	6.372272594810379e-06	4.832389453731453e-08	6.390879161676647e-06	4.7075675851715686e-08	1.860656686626781e-08	6.7463457072324e-08	1.0029199263825312	0.010602904842748
Standard	1	1	KCl	0.7	0.1	0.1	6.37360491017964e-06	5.2853817465173874e-08	6.40137251497006e-06	4.9199396484736094e-08	2.776760479041957e-08	7.220877117846682e-08	1.0043566561124726	0.0113558162628174
Standard	1	1	KCl	-0.7	0.1	0.1	6.3527848902195615e-06	4.717764379277469e-08	6.371558702594811e-06	4.8208557772592297e-08	1.877381237524916e-08	6.74521691004174e-08	1.0029552098331165	0.010633093563842
Standard	1	1	KCl	0.8	0.1	0.1	6.381147564870259e-06	5.8344271942139123e-08	6.416790778443114e-06	5.214915177826773e-08	3.564321357285439e-08	7.825335839215519e-08	1.0055857058954534	0.012301335864242
Standard	1	1	KCl	-0.8	0.1	0.1	6.384645249500998e-06	5.822917357637513e-08	6.435992994011976e-06	5.326093221694452e-08	5.1347744510977935e-08	7.891364619636823e-08	1.008042380195672	0.012414131963262
