Type,Electrolyte,Potential [V],Period [s],A1_first [A],A1_first [A],A2_first [A],A2_first [A],Rat_first,Rat_first,A1_last [A],A1_last [A],A2_last [A],A2_last [A],Rat_last,Rat_last
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Bare,Nenhum,0.5,0.14,-1.6695892833888892e-05,7.474788486488026e-07,-1.8066759500555556e-05,3.627041418037047e-07,1.083061073903432,0.035044472567287224,1.7370140499444444e-05,1.61803615868941e-07,1.7370173832777777e-05,9.77192703878676e-07,0.9997142363961107,0.046766422138470626
Bare,Nenhum,0.5,0.15,-1.7118493918555555e-05,1.1961104856968954e-06,-1.8775527251888886e-05,4.08751207494695e-07,1.099617695851606,0.06277224409973188,1.734487274811111e-05,5.305010465338425e-07,1.728927274811111e-05,6.807679994416845e-07,0.9969961421334309,0.03539975775858323
Bare,Nenhum,0.5,0.18,-1.7948894944333333e-05,8.784355537084819e-07,-1.8091928277666665e-05,7.711083440321633e-07,1.009522699570535,0.06379274403326318,1.7710571722333336e-05,4.0545014552395104e-07,1.8167538389e-05,5.908646390737826e-07,1.0261620600094379,0.04124808845766892
Bare,Nenhum,0.5,0.2,-1.3939096492333333e-05,7.642310339420763e-06,-1.3279466492333334e-05,7.662678556951954e-06,0.932238788482851,0.055924623779262425,1.3220733507666667e-05,8.809374697498494e-06,1.3534656840999998e-05,8.101313754113874e-06,1.1189439398861187,0.21432301965799544
Bare,Nenhum,0.5,0.3,-1.5101199465777779e-05,1.0628561839381415e-06,-1.5645532799111112e-05,2.064979449797746e-07,1.0395203893608314,0.07581647644127558,1.5166067200888888e-05,9.926823981620727e-07,1.487996720088889e-05,7.268851692893694e-07,0.983814093243546,0.07662639991388125
Bare,Nenhum,0.5,0.5,-1.6960780041777776e-05,4.465591322758278e-07,-1.8216446708444445e-05,5.164171680572985e-07,1.0749926626450665,0.056296335386546346,1.7359553291555554e-05,6.392691087635804e-07,1.7506553291555558e-05,5.130905912008621e-07,1.0093660789950654,0.047359414636539345
Bare,Nenhum,0.5,0.6,-1.772766209587514e-05,9.069808120469377e-07,-1.664286209587514e-05,7.384131185040763e-07,0.9413087134864971,0.08173790310305416,1.7363604570791527e-05,4.22662325168654e-07,1.7451004570791526e-05,1.6577857894061725e-07,1.0054198737440705,0.025556431807836438
Bare,Nenhum,0.5,0.85,-1.7668139534782608e-05,6.501778491953995e-08,-1.7759539534782608e-05,3.961956393590772e-07,1.0052238727638543,0.025381427315643006,1.7136993798550726e-05,8.09825404427069e-07,1.7935693798550725e-05,7.013733444643196e-07,1.0468894296055815,0.009772786604039175
Bare,Nenhum,0.5,1.1,-1.870968541772575e-05,5.038293095547166e-07,-1.8936185417725752e-05,9.295019865373888e-07,1.012586264473595,0.05568907979340336,1.824118124894092e-05,1.2102900082849978e-06,1.781204791560758e-05,4.502536332343347e-07,0.9783491013201657,0.04272722751977056
Bare,Nenhum,0.5,1.6,-1.8804138143701232e-05,5.354717339080855e-07,-1.9090271477034563e-05,1.2877356002817898e-06,1.0165045821215613,0.08724740560557653,1.7828861856298774e-05,4.546563695592037e-07,1.8401061856298775e-05,5.037206235166506e-07,1.032108436191682,0.011955519188357898
Bare,Nenhum,0.5,2.1,-1.8634186700891863e-05,2.744782086309102e-07,-1.8979886700891862e-05,9.768037664201126e-08,1.0187332003004783,0.018858985322025207,1.902401329910814e-05,1.9387884185193684e-07,1.8479613299108137e-05,9.286369397978485e-07,0.9711225798915603,0.03887160419888969
Bare,Nenhum,0.8,0.101,-3.2804363122555557e-05,7.246147151661111e-07,-2.8755229789222218e-05,1.1844233993003197e-06,0.8763501760921878,0.018628221289474046,3.2446836877444446e-05,2.490464950852805e-07,3.287597021077778e-05,8.38224413205506e-07,1.0133891889386115,0.03332369448479339
Bare,Nenhum,0.8,0.102,-3.343385728316611e-05,4.976909367195662e-07,-3.075165728316611e-05,1.0471986068428754e-06,0.919883028565979,0.03311791244234359,3.330344271683389e-05,3.901639616672297e-07,3.296174271683389e-05,9.413742455238759e-07,0.9897206401598687,0.024626119849259418
Bare,Nenhum,0.8,0.105,-3.291611230177778e-05,5.288608453490103e-07,-3.263004563511111e-05,6.857430331042296e-07,0.9917064235328642,0.03708995007533857,3.3113854364888894e-05,5.551817106098919e-07,3.331258769822222e-05,7.779410712777279e-07,1.0059404411705948,0.008898739893209039
Bare,Nenhum,0.8,0.11,-3.2561332471794875e-05,5.256607828930703e-07,-3.3586532471794873e-05,7.721071856055088e-07,1.0314803186043602,0.016451408269989674,3.375080086153846e-05,3.77228783605073e-07,3.366736752820513e-05,5.58114800625144e-07,0.9975240371632991,0.011617113599988894
Bare,Nenhum,0.8,0.12,-3.357279504247492e-05,6.111938030503466e-07,-3.3572828375808246e-05,7.511714770484292e-07,1.000193109856806,0.027425275872277523,3.377247162419175e-05,8.409909620752919e-07,3.391153829085842e-05,2.435005450142168e-07,1.0044279383111514,0.018900964015505808
Bare,Nenhum,0.8,0.14,-3.4266464616e-05,8.315395590911405e-07,-3.5065197949333334e-05,2.6408714341322687e-07,1.023591176874166,0.01742812527928961,3.578086871733333e-05,1.834040929826119e-06,3.5351702050666666e-05,1.1778578890772083e-06,0.9892599103858212,0.0477933698731499
Bare,Nenhum,0.8,0.15,-3.499979803722222e-05,5.435362849282086e-07,-3.6080631370555555e-05,1.1416695212295011e-06,1.03074427669256,0.019330325628029953,3.670856862944444e-05,4.196146040872213e-07,3.599726862944444e-05,5.800866153160838e-07,0.9805915224735551,0.005622958736894284
Bare,Nenhum,0.8,0.18,-3.6872377453222224e-05,2.3821323337947554e-07,-3.7357177453222216e-05,1.4953188709697008e-06,1.0130013675070135,0.03405931364022806,3.694602254677778e-05,1.1426268113002154e-06,3.691422254677778e-05,7.488264651129171e-07,0.9993684808598248,0.011624709459208496
Bare,Nenhum,0.8,0.2,-2.8788191025666666e-05,1.2814040475739312e-05,-3.0047857692333336e-05,1.3272907838578127e-05,1.0459682156368313,0.019050904835232706,2.9079942307666667e-05,1.382241176236929e-05,2.9902508974333338e-05,1.3890247319605165e-05,1.03462699780195,0.022187059922036647
Bare,Nenhum,0.8,0.3,-2.4642593750333336e-05,7.426103459891037e-06,-2.430479375033333e-05,1.0210494911192867e-05,0.9559052772709956,0.15779681918261457,2.3569639583e-05,9.98440182479462e-06,2.2345756249666666e-05,1.195969652051742e-05,0.9010811581574424,0.16643589644552106
Bare,Nenhum,0.8,0.5,-3.2752025492333336e-05,3.312683924597153e-08,-3.517195882566667e-05,1.4241688815573879e-06,1.073915663953633,0.04456061607916999,3.384624117433333e-05,8.797980040579171e-07,3.4331007841e-05,2.116667724426688e-07,1.0146676245089594,0.019909405975289993
Bare,Nenhum,0.8,0.6,-3.2643571888963214e-05,1.2210321749863155e-06,-3.546880522229655e-05,7.462025261420624e-07,1.0870113977469311,0.01932486844273208,3.452686144437012e-05,5.764755125601321e-07,3.495206144437012e-05,4.891581090168955e-07,1.0123577561661161,0.0066502859444044415
Bare,Nenhum,0.8,0.85,-3.473436821103679e-05,1.4136330714991227e-06,-3.656623487770346e-05,1.7512087004201718e-06,1.0526082342266543,0.0180062415356541,3.588523178896321e-05,1.4799544534913552e-06,3.6000431788963214e-05,1.6412204254501514e-06,1.0030990574587542,0.007581798281430885
Bare,Nenhum,0.8,1.1,-3.662743442463768e-05,1.0855707934626742e-06,-3.862220109130435e-05,1.3233785536033847e-06,1.054687284573312,0.03269127157447203,3.7596265575362324e-05,1.2763432887356863e-06,3.819233224202898e-05,5.568675112856238e-07,1.0163242137669213,0.021265094027306336
Bare,Nenhum,0.8,1.6,-3.7724540997770345e-05,1.5404707080529651e-06,-3.9866374331103685e-05,3.7105604842354644e-07,1.0576959593036126,0.03384965767111019,3.902632566889632e-05,2.394847236000301e-07,3.8748192335562986e-05,9.60075742320615e-07,0.9928507306724743,0.022424260927409703
Bare,Nenhum,0.8,2.1,-3.850541053890747e-05,1.0126032594330233e-06,-4.0591577205574134e-05,1.3714641392377708e-06,1.0546528137179607,0.04479381679955602,3.910778946109253e-05,8.081628700648832e-07,3.87660561277592e-05,8.39375448283219e-07,0.9916576499534396,0.03512900238698787
Bicamada,KCl,-0.8,0.101,2.6990930555555556e-05,1.3760128036846658e-06,3.0324263888888883e-05,1.360052332454616e-06,1.1238625547372647,0.023530962568770224,-1.3364402777777781e-05,3.5121323936311275e-06,-1.667043611111111e-05,2.4929265312109155e-06,1.279877972360651,0.19419343889722504
Bicamada,KCl,-0.8,0.102,2.6968095206243036e-05,2.2214349692204337e-06,3.2301428539576364e-05,3.989887687298723e-06,1.1956836208182826,0.06803367485597381,-1.1388471460423637e-05,2.1244593035031973e-06,-2.0464271460423634e-05,8.547112043844634e-06,1.7546059719742975,0.4202714871133385
Bicamada,KCl,-0.8,0.105,2.7958120777777782e-05,4.940113114375688e-07,3.8291454111111124e-05,2.206414300333723e-06,1.3699712235970487,0.08502070722098025,-1.2626312555555553e-05,3.5081007708691443e-06,-2.3212112555555554e-05,3.2986040985199604e-06,2.0079992914397278,0.9259980269497479
Bicamada,KCl,-0.8,0.11,2.600052185061316e-05,2.198421540822169e-06,3.33338551839465e-05,4.50708927176996e-06,1.2785407009218384,0.06225199539530363,-1.917617814938684e-05,4.9387121821016424e-06,-1.9200011482720173e-05,6.01638684149121e-06,1.0808687654141893,0.5713997108752006
Bicamada,KCl,-0.8,0.12,2.4339663322185064e-05,1.0626970178101255e-06,2.9672996655518396e-05,8.694787464740108e-07,1.2197857902767577,0.03037777555554169,-2.310827001114827e-05,2.1691655847515546e-06,-1.6174270011148268e-05,1.707117752537036e-06,0.6996653770627538,0.022870206735491675
Bicamada,KCl,-0.8,0.14,2.4334448222222228e-05,1.0235251063455156e-06,2.8001114888888898e-05,1.918636546841317e-06,1.150698404761571,0.06398349964345648,-2.4138651777777767e-05,1.2427493301491835e-06,-1.5062851777777767e-05,2.251298952616663e-06,0.6218639376196856,0.06280875703971676
Bicamada,KCl,-0.8,0.15,3.228205066666667e-05,1.4051697099460238e-06,2.594871733333333e-05,1.0494906290274605e-06,0.8039458405586067,0.01256356118277981,-3.009984933333333e-05,2.7382687749409174e-06,-2.4334116e-05,2.1949403199517196e-06,0.8084870167429141,0.0008896066335419472
Bicamada,KCl,-0.8,0.18,3.764992677777778e-05,1.9339422102541474e-06,3.331659344444444e-05,2.9003498496527053e-06,0.8841921572945428,0.04235706493797286,-3.491717322222222e-05,3.3067718814027733e-06,-2.992223988888889e-05,2.9046953059414434e-06,0.8570647871596327,0.021282022987576033
Bicamada,KCl,-0.8,0.2,3.895934011111111e-05,1.962904848864347e-06,3.562600677777778e-05,1.9138488855722864e-06,0.9144210618717508,0.014152922075663349,-3.6478859888888886e-05,2.9100187254028317e-06,-3.203239322222223e-05,2.5758190517981297e-06,0.8781014535259882,0.006644143749553654
Bicamada,KCl,-0.8,0.3,4.861623277777779e-05,2.8063006025168256e-06,4.561623277777778e-05,2.806300602516817e-06,0.9381546800308239,0.003575980327354317,-3.8062233888888884e-05,2.0727908755287225e-06,-4.186103388888889e-05,3.1433698601620393e-06,1.100000410920262,0.06350680499118022
Bicamada,KCl,-0.8,0.5,3.059461411111111e-05,1.6048050121762538e-06,4.792794744444444e-05,3.0084950860291598e-06,1.5668079647664304,0.06682303654867666,-1.6737419222222226e-05,1.76364122809898e-06,-2.484365255555556e-05,2.196524248252586e-06,1.4865139570152721,0.05157945514963144
Bicamada,KCl,-0.8,0.6,2.759770869565218e-05,1.615473044656868e-06,3.793104202898551e-05,5.4526510568898986e-06,1.370891500394601,0.1347160042750593,-1.544685797101449e-05,2.20420838732583e-06,-1.992912463768116e-05,6.447971909045595e-06,1.2767074576617408,0.2928003888920965
Bicamada,KCl,-0.8,0.85,2.520471850613156e-05,1.965771029028122e-06,2.920471850613156e-05,3.6794671917941275e-06,1.1559499816304404,0.05441765489429552,-2.2301481493868443e-05,2.5399386613688333e-06,-1.5709148160535105e-05,2.3345488632564415e-06,0.7103184786631968,0.1368003375720783
Bicamada,KCl,-0.8,1.1,2.8516509476031214e-05,2.5448367389225064e-06,2.5183176142697876e-05,1.101105121824528e-06,0.8873876671229448,0.079525598989768,-2.669002385730212e-05,2.8639617491531856e-06,-2.1782590523968784e-05,2.019794735633015e-06,0.8175835531246066,0.03551921724366142
Bicamada,KCl,-0.8,1.6,3.188316064659977e-05,1.6411314877840211e-06,2.6216493979933108e-05,2.2076860181244177e-06,0.8213696309768616,0.026423455772987083,-2.9338906020066896e-05,9.087587140202328e-07,-2.4260572686733564e-05,2.775182241668599e-07,0.8272985664438659,0.02017664606074442
Bicamada,KCl,-0.8,2.1,3.360794347826086e-05,2.086934642222264e-06,2.7607943478260868e-05,2.086934642222265e-06,0.8210062400381024,0.011228076166281492,-3.0703356521739134e-05,2.5854251226029233e-06,-2.574028985507247e-05,2.6536182289804194e-06,0.8375221230597097,0.016540645314596848
Bicamada,KCl,-0.5,0.101,1.3871676666666659e-05,1.0697580424293758e-06,1.6448109999999997e-05,1.8887006696251031e-06,1.1836360582688608,0.05602663894572948,-1.1015223333333337e-05,1.908755283697285e-06,-1.0526490000000003e-05,2.6422815744432574e-06,0.9740483987031884,0.2714070696650525
Bicamada,KCl,-0.5,0.102,1.3951414158305464e-05,1.1453992167338859e-06,1.732101415830546e-05,1.8905930673459635e-06,1.24273245486343,0.1080430101160136,-1.1106385841694536e-05,1.2248626204622471e-06,-8.968552508361205e-06,3.787280419411412e-07,0.8163857748262102,0.1212584834242207
Bicamada,KCl,-0.5,0.105,1.427337055555555e-05,1.3510377813827445e-06,2.0901237222222218e-05,2.1649957877047124e-06,1.464890441848328,0.07988092730622111,-4.192162777777782e-06,5.1898391604248374e-06,-8.50356277777778e-06,7.452072194894027e-07,5.6351633457534644,4.921717503161581
Bicamada,KCl,-0.5,0.11,1.3482623968784843e-05,1.2233992742243188e-06,1.6805023968784845e-05,1.3657874566642154e-06,1.2471330284933548,0.013882906172572464,-1.1829442697881823e-05,1.5789852738098394e-06,-8.491576031215156e-06,1.0802628505505405e-06,0.7213517095989778,0.07570321039582557
Bicamada,KCl,-0.5,0.12,1.2773583500557414e-05,5.658829453684763e-07,1.505841683389075e-05,6.675459322811092e-07,1.181255199340702,0.0905834623147308,-1.245508316610925e-05,2.093741883362536e-06,-7.603249832775915e-06,7.134763924984848e-07,0.6162304785255862,0.05200666128849221
Bicamada,KCl,-0.5,0.14,1.466721088888889e-05,1.9466178566921823e-06,1.383521088888889e-05,1.1466005503776323e-06,0.9585150287070799,0.18012189083708066,-1.3789522444444444e-05,1.9106777184152575e-06,-1.2136522444444438e-05,9.996362907820529e-07,0.885516300107421,0.06366543215648127
Bicamada,KCl,-0.5,0.15,1.7772333333333333e-05,8.07796137482376e-07,1.499566666666667e-05,1.5259268105203382e-06,0.8426815238421188,0.05463438278207745,-1.6262533333333332e-05,1.2986027936971738e-06,-1.3469066666666664e-05,1.5441586513151577e-06,0.8267191766286438,0.03197581365900604
Bicamada,KCl,-0.5,0.18,2.1807382222222233e-05,1.4816285692317106e-06,1.975881555555557e-05,1.4016373931256396e-06,0.9065680648575033,0.042842264470367715,-1.9287417777777766e-05,1.3974590077817138e-06,-1.7062184444444435e-05,1.5354620959203252e-06,0.8840022739151229,0.02639354504303174
Bicamada,KCl,-0.5,0.2,2.2180399666666676e-05,1.934565692080649e-06,1.943733300000001e-05,1.0660199911393725e-06,0.8781895571462311,0.038164866099917594,-2.0018633666666658e-05,1.3998353598579935e-06,-1.739203366666666e-05,1.4783318325651475e-06,0.8682328445260993,0.018508422679037437
Bicamada,KCl,-0.5,0.3,2.7209503777777788e-05,1.3707268074851684e-06,2.554283711111112e-05,8.258059919339635e-07,0.9393496567179075,0.018821291947534163,-1.6844829555555545e-05,3.6569767975842536e-06,-2.2328462888888878e-05,2.1074868250313446e-06,1.386616730959238,0.4282730263973463
Bicamada,KCl,-0.5,0.5,1.511778433333334e-05,6.946294381627768e-07,2.5908117666666673e-05,1.0592383415591517e-06,1.715382488660887,0.0860067841304503,-7.967548999999993e-06,1.0437077728762567e-06,-1.3101482333333329e-05,7.869593440923684e-06,1.7591864698368431,1.3162237066581695
Bicamada,KCl,-0.5,0.6,1.4283572463768106e-05,9.337124991298035e-07,1.9978105797101444e-05,3.815704675438292e-06,1.3914476866319336,0.17360983242689249,-1.0714627536231883e-05,2.052185304256042e-06,-8.890694202898553e-06,2.2901414196185144e-07,0.8475138167361417,0.14110460447455064
Bicamada,KCl,-0.5,0.85,1.3371893756967672e-05,3.66100958619537e-07,1.4142793756967672e-05,6.978314450123061e-07,1.058259218134476,0.06155973511914006,-1.2941539576365663e-05,1.919481221422541e-06,-9.035472909698996e-06,3.171783547851526e-06,0.6872008881043769,0.1579258596138814
Bicamada,KCl,-0.5,1.1,1.6813444035674474e-05,1.2020715696349628e-06,1.3021577369007811e-05,4.306518473682791e-07,0.7777663757835609,0.07200676416161704,-1.4944955964325525e-05,2.0982919013984892e-06,-1.243358929765886e-05,1.7097687428188683e-06,0.8324714289762399,0.024918545748415847
