Type	Electrolyte	Width [s]	Interval [s]	Train pulses #	Resistor	Measure #	Polarization	IDSmed [A]	IDSmed [A]	delIDS [A]	delIDS [A]	Gn [S]	Gn [S]
								mean	std	mean	std	mean	std
Bicamada	KCl	0.1	0.03	10	0	134	pos	8.119806739159685e-05	3.053471084618599e-06	-2.8910865997507553e-08	2.991552106700334e-09	5.424205531586328e-06	4.39357065773583e-06
Bicamada	KCl	0.1	0.03	10	0	135	pos	8.118310029203712e-05	3.0455784770547106e-06	-1.4967099559726194e-08	8.807079948996159e-09	6.338822708396861e-06	5.451303921019425e-06
Bicamada	KCl	0.1	0.03	10	0	136	pos	8.116026386536153e-05	3.055997836337316e-06	-2.283642667559131e-08	1.0420929615273589e-08	6.563568442846227e-06	3.517222518867851e-06
Bicamada	KCl	0.1	0.03	10	0	137	pos	8.115182337557296e-05	3.055101804548052e-06	-8.440489788578512e-09	1.7384830392802264e-09	4.004806981822708e-06	3.0094272715277404e-06
Bicamada	KCl	0.1	0.03	10	0	138	pos	8.113967358743442e-05	3.0595194949034452e-06	-1.2149788138534253e-08	6.2529500930543725e-09	4.666750537825533e-06	3.974734005054066e-06
Bicamada	KCl	0.1	0.03	10	0	139	pos	8.112194230610233e-05	3.0586206369970214e-06	-1.773128133208957e-08	3.515048086498371e-09	5.256682234625451e-06	1.72841843379131e-06
Bicamada	KCl	0.1	0.03	10	1	1	neg	8.114048773677496e-05	3.0185730689670896e-06	0.0	0.0	0.0	0.0
Bicamada	KCl	0.1	0.03	10	1	2	neg	8.124438431877934e-05	2.99548836340752e-06	1.0389658200438138e-07	2.781493219935385e-08	5.8905226020054754e-06	2.544372644759454e-06
Bicamada	KCl	0.1	0.03	10	1	3	neg	8.129755216638539e-05	2.9792581114548688e-06	5.316784760604302e-08	1.8980213191041442e-08	4.981261320686592e-06	2.1518832055596292e-06
Bicamada	KCl	0.1	0.03	10	1	4	neg	8.133636166955209e-05	2.9871109938436195e-06	3.880950316670803e-08	1.2705267103600356e-08	4.696324328352294e-06	1.861739901920837e-06
