Type	Chip	Disp	Electrolyte	Potential [V]	Pulse #	Polarization	IDSant (10sp 5sa) [A]	Std IDSant [A]	IDSdur (10sp 15sa) [A]	Std IDSdur [A]	IDSdep (10sp 30sd) [A]	Std IDSdep [A]	delIDS [A]	Std del IDS [A]	RatioIDS	Std RazIDS
Standard	1	1	KCl	0.8	38	neg	3.3340292015968064e-06	4.2062396857065513e-08	4.707719600798403e-06	4.98241703577724e-08	4.000577924151697e-06	3.6583777903358094e-08	6.665487225548907e-07	5.574601362468447e-08	1.199922880770106	0.0186968525302635
Standard	1	1	KCl	0.8	39	pos	3.642998423153692e-06	4.770389146504282e-08	8.86053491017964e-06	6.554952803981045e-08	3.217223213572855e-06	4.1544435986691363e-08	-4.257752095808373e-07	6.325821229185094e-08	0.8831250634436867	0.0162413310462382
Standard	1	1	KCl	0.8	40	neg	3.194666546906188e-06	4.433481647928968e-08	4.549273532934132e-06	4.688440981492049e-08	3.889077944111776e-06	4.72685610989468e-08	6.944113972055891e-07	6.480658007191216e-08	1.2173658461719823	0.0224575581688509
Standard	1	1	KCl	0.8	41	pos	3.424542834331338e-06	4.0253983807202185e-08	8.491626966067864e-06	5.844078486106127e-08	3.065130718562875e-06	4.101004049598865e-08	-3.594121157684629e-07	5.746482953801503e-08	0.8950481471087687	0.0159404459717878
Standard	1	1	KCl	0.8	42	neg	3.0017663672654685e-06	3.734318715879581e-08	4.39718109780439e-06	5.043412899408909e-08	3.662557405189621e-06	4.013277376476111e-08	6.60791037924152e-07	5.481927724104313e-08	1.2201340667715308	0.0202274628521748
Standard	1	1	KCl	0.8	43	pos	3.258720419161677e-06	4.172608316178207e-08	8.177138542914172e-06	7.07711747145167e-08	2.9276713173652694e-06	3.535940855078143e-08	-3.310491017964075e-07	5.4693270052951006e-08	0.8984113212505749	0.0158136577442677
Standard	1	1	KCl	0.8	44	neg	2.8718962874251497e-06	3.777389077907147e-08	4.238401776447106e-06	3.8914233435054695e-08	3.441222894211577e-06	4.274470843749877e-08	5.693266067864273e-07	5.704364052193725e-08	1.198240656976115	0.0216775745886425
Standard	1	1	KCl	0.8	45	pos	3.132848403193613e-06	3.786910768218746e-08	7.804615548902194e-06	8.628909934370666e-08	2.761134630738523e-06	3.693654093324626e-08	-3.717137724550898e-07	5.2899691613075474e-08	0.881349582036537	0.0158903723757119
Standard	1	1	KCl	0.8	46	neg	2.868541337325349e-06	3.473435526978992e-08	4.197999241516966e-06	4.909679107460647e-08	3.3699581437125747e-06	4.153754673481935e-08	5.014168063872255e-07	5.4146497806924544e-08	1.174798529086128	0.0202987789640776
Standard	1	1	KCl	0.8	47	pos	3.0896147105788422e-06	4.2019570166364984e-08	7.563580079840319e-06	8.13479077567064e-08	2.6995787425149703e-06	3.893636216463432e-08	-3.900359680638719e-07	5.728598934802153e-08	0.8737590267393573	0.0173214583649259
Standard	1	1	KCl	0.8	48	neg	2.614229021956088e-06	4.3379483593532046e-08	4.0136653892215575e-06	4.367435715037147e-08	3.1626396007984028e-06	4.574163741975493e-08	5.484105788423147e-07	6.304028069958e-08	1.2097790875383858	0.0266296966591893
Standard	1	1	KCl	0.8	49	pos	2.8530989221556884e-06	4.1629977170735126e-08	7.220727844311378e-06	5.5350334872914016e-08	2.5591692015968067e-06	4.131270519539094e-08	-2.9392972055888174e-07	5.86497622313783e-08	0.8969787839193462	0.0195182747373127
Standard	1	1	KCl	0.8	50	neg	2.579774670658683e-06	4.093151476480334e-08	3.917702375249501e-06	4.5685491326535055e-08	2.977995828343313e-06	4.957306111551389e-08	3.982211576846299e-07	6.428745825823097e-08	1.154362767498199	0.0265464346538527
