Type,Chip,Disp,Electrolyte,Potential [V],Period [s],A1_first [A],A2_first [A],Rat_first,A1_last [A],A2_last [A],Rat_last
Standard,1,2,MgCl2,0.8,0.14,-5.26324462e-05,-5.40987462e-05,1.0278592409409997,6.41926538e-05,6.34177538e-05,0.9879285252419336
Standard,1,2,MgCl2,0.8,0.12,-5.100059525083612e-05,-5.151319525083612e-05,1.010050863082654,6.231970474916388e-05,6.248660474916387e-05,1.002678125653383
Standard,1,2,MgCl2,0.8,0.11,-4.950846755852844e-05,-5.0962867558528426e-05,1.0293767929350794,6.105813244147158e-05,6.105813244147158e-05,1.0
Standard,1,2,MgCl2,0.8,0.105,-4.956755190000001e-05,-4.80297519e-05,0.9689756717640112,6.06533481e-05,6.0748748100000006e-05,1.0015728727760045
Standard,1,2,MgCl2,0.8,0.102,-5.001716518394649e-05,-4.5558665183946485e-05,0.910860601883311,6.11455348160535e-05,6.11455348160535e-05,1.0
Standard,1,2,MgCl2,0.8,0.101,-4.97107139e-05,-3.94230139e-05,0.7930486369458476,6.102278610000001e-05,6.120158610000001e-05,1.0029300530412852
Standard,1,1,KCl,-0.5,2.1,2.32135904013378e-05,1.84094904013378e-05,0.7930479552304353,-1.8521539598662208e-05,-1.6375769598662208e-05,0.8841473200124795
Standard,1,1,KCl,-0.5,1.6,2.209011066889632e-05,1.908611066889632e-05,0.8640115459344556,-1.931122933110368e-05,-1.7165469331103677e-05,0.8888853752803852
Standard,1,1,KCl,-0.5,1.1,2.247330876254181e-05,1.9123508762541806e-05,0.8509431772866753,-1.81532712374582e-05,-1.6782361237458193e-05,0.9244813795779568
Standard,1,1,KCl,-0.5,0.85,1.6845215986622073e-05,1.3066315986622073e-05,0.7756692462120355,-1.5806204013377925e-05,-1.2372974013377924e-05,0.7827922506191739
Standard,1,1,KCl,-0.5,0.6,1.3789483846153848e-05,1.6793583846153847e-05,1.2178544196081642,-1.2174266153846154e-05,-6.607186153846154e-06,0.5427174065648942
Standard,1,1,KCl,-0.5,0.5,1.5007649033333332e-05,1.997864903333333e-05,1.331231093488325,-9.513699966666668e-06,-1.3960210966666667e-05,1.4673797802725883
Standard,1,1,KCl,-0.5,0.3,2.779406226666667e-05,2.771066226666667e-05,0.996999359100522,-1.0948937733333332e-05,-2.422883773333333e-05,2.212893919340705
Standard,1,1,KCl,-0.5,0.2,2.5902298633333333e-05,2.6247998633333333e-05,1.0133463058585512,-2.3462301366666668e-05,-2.1924501366666664e-05,0.9344565575231768
Standard,1,1,KCl,-0.5,0.18,2.692706023333333e-05,2.504356023333333e-05,0.9300517775175328,-2.3629639766666663e-05,-2.1495739766666663e-05,0.909693925888358
Standard,1,1,KCl,-0.5,0.15,2.1677437033333336e-05,1.901903703333333e-05,0.8773655762020119,-1.9199452966666668e-05,-1.6970242966666665e-05,0.883892004430008
Standard,1,1,KCl,-0.5,0.14,2.091054183333333e-05,1.7215041833333334e-05,0.823270959238893,-1.8428488166666667e-05,-1.6199278166666667e-05,0.8790345697466284
Standard,1,1,KCl,-0.5,0.12,2.131658240802676e-05,1.8050282408026755e-05,0.8467718728322005,-1.828475759197324e-05,-1.5542937591973245e-05,0.8500488734286739
Standard,1,1,KCl,-0.5,0.11,1.971772267558528e-05,1.6201022675585283e-05,0.8216477603494029,-1.6700747324414713e-05,-1.3696677324414714e-05,0.8201236183240513
Standard,1,1,KCl,-0.5,0.105,1.9618372966666663e-05,1.5076472966666668e-05,0.7684874271828206,-1.7229247033333335e-05,-1.3199967033333334e-05,0.7661371972782923
Standard,1,1,KCl,-0.5,0.102,1.964539321070234e-05,1.1753693210702342e-05,0.598292591277797,-1.626046678929766e-05,-1.292260678929766e-05,0.7947254501822224
Standard,1,1,KCl,-0.5,0.101,1.783110753333333e-05,1.0881207533333334e-05,0.6102373345565939,-1.6787252466666666e-05,-1.3711652466666665e-05,0.8167895546869854
Standard,1,1,KCl,0.5,2.1,-2.36678543812709e-05,-2.4347354381270903e-05,1.0287098267994124,2.77590456187291e-05,2.82716456187291e-05,1.0184660527253195
Standard,1,1,KCl,0.5,1.6,-2.3537377090301003e-05,-2.4395677090301e-05,1.03646540549982,2.7710722909699e-05,2.7794122909699e-05,1.0030096652574447
Standard,1,1,KCl,0.5,1.1,-2.4955760936454845e-05,-2.3417960936454848e-05,0.9383789577117798,2.766323906354516e-05,2.757973906354516e-05,0.9969815537577436
Standard,1,1,KCl,0.5,0.85,-2.165858026755853e-05,-2.2433480267558528e-05,1.035777968381459,2.701461973244147e-05,2.616821973244147e-05,0.9686688167968706
Standard,1,1,KCl,0.5,0.6,-2.1644865351170567e-05,-2.2074065351170567e-05,1.0198291831820885,2.497793464882944e-05,2.5752734648829434e-05,1.031019378138869
Standard,1,1,KCl,0.5,0.5,-2.193300653333333e-05,-2.158720653333333e-05,0.9842338076417176,2.6406393466666666e-05,2.5631493466666667e-05,0.9706548339901784
Standard,1,1,KCl,0.5,0.3,-1.8644890666666667e-05,-1.9169410666666667e-05,1.028132103822831,2.325712933333333e-05,2.282802933333333e-05,0.981549743571104
Standard,1,1,KCl,0.5,0.2,-9.243849266666663e-06,-7.956393266666666e-06,0.8607229561128212,1.2702606733333334e-05,1.1844306733333335e-05,0.9324311916429164
Standard,1,1,KCl,0.5,0.18,-7.436162533333331e-06,-7.960682533333332e-06,1.0705363818567424,1.0993567466666669e-05,1.167306746666667e-05,1.0618088716024436
Standard,1,1,KCl,0.5,0.15,-2.3928239566666667e-05,-2.3844839566666667e-05,0.996514578526864,2.7748960433333333e-05,2.852386043333333e-05,1.027925370460695
Standard,1,1,KCl,0.5,0.14,-2.3346385933333336e-05,-2.3513285933333336e-05,1.0071488580920658,2.765141406666667e-05,2.781831406666667e-05,1.0060358576815496
Standard,1,1,KCl,0.5,0.12,-2.4341647725752503e-05,-2.245814772575251e-05,0.9226223293829312,2.690645227424749e-05,2.657265227424749e-05,0.9875940537757376
Standard,1,1,KCl,0.5,0.11,-2.4785871036789297e-05,-2.1269171036789297e-05,0.8581167474493749,2.7666228963210705e-05,2.70701289632107e-05,0.9784538759947128
Standard,1,1,KCl,0.5,0.105,-2.19723857e-05,-2.02556857e-05,0.9218701135398328,2.59379143e-05,2.67962143e-05,1.033090555781503
Standard,1,1,KCl,0.5,0.102,-2.1449308394648832e-05,-1.8969788394648828e-05,0.8844009347817203,2.7056891605351168e-05,2.628209160535117e-05,0.9713640424295168
Standard,1,1,KCl,0.5,0.101,-2.1191405466666665e-05,-1.7162125466666668e-05,0.8098625404370695,2.612279453333333e-05,2.671879453333333e-05,1.0228153231936763
Standard,1,1,KCl,-0.8,2.1,4.274230113712375e-05,3.493410113712375e-05,0.8173191477232329,-3.6114698862876254e-05,-3.131049886287626e-05,0.8669738319502249
Standard,1,1,KCl,-0.8,1.6,3.989596966555184e-05,3.295796966555184e-05,0.8260977221969712,-3.5527730334448165e-05,-3.004413033444816e-05,0.8456529604233392
Standard,1,1,KCl,-0.8,1.1,3.815070391304348e-05,3.309620391304348e-05,0.8675122741766266,-3.598559608695652e-05,-3.007279608695652e-05,0.8356898136212011
Standard,1,1,KCl,-0.8,0.85,3.2261465953177255e-05,2.704006595317725e-05,0.8381536658136338,-2.9524734046822743e-05,-2.2586734046822743e-05,0.7650105843799592
Standard,1,1,KCl,-0.8,0.6,2.8052189130434785e-05,3.285638913043478e-05,1.1712593615301043,-2.405421086956521e-05,-1.505387086956522e-05,0.6258310011164095
Standard,1,1,KCl,-0.8,0.5,3.150443616666667e-05,4.187563616666667e-05,1.3291980832519474,-1.554752383333333e-05,-2.129336383333333e-05,1.3695662448628074
Standard,1,1,KCl,-0.8,0.3,4.9714367133333336e-05,5.3660167133333335e-05,1.0793694102434697,-2.3051032866666664e-05,-3.9334932866666665e-05,1.7064282149173284
Standard,1,1,KCl,-0.8,0.2,5.16420947e-05,4.78750947e-05,0.9270556312271352,-4.64075053e-05,-4.27240053e-05,0.9206270628815724
Standard,1,1,KCl,-0.8,0.18,5.186195583333333e-05,4.799955583333333e-05,0.9255253694555516,-4.6283044166666666e-05,-4.3279044166666665e-05,0.9350950212094412
Standard,1,1,KCl,-0.8,0.15,4.196528576666667e-05,3.699418576666666e-05,0.8815425676441219,-3.783341423333333e-05,-3.286241423333333e-05,0.868608210473897
Standard,1,1,KCl,-0.8,0.14,4.110652963333333e-05,3.519382963333333e-05,0.8561615380149876,-3.662977036666666e-05,-3.096737036666667e-05,0.8454153563257711
Standard,1,1,KCl,-0.8,0.12,3.7473865585284274e-05,3.1298865585284287e-05,0.8352184941810522,-3.555373441471572e-05,-2.989123441471572e-05,0.8407340299629317
Standard,1,1,KCl,-0.8,0.11,3.726786183946488e-05,2.9030461839464883e-05,0.7789677326946355,-3.430543816053512e-05,-2.847603816053512e-05,0.8300735885453249
Standard,1,1,KCl,-0.8,0.105,3.28277306e-05,2.37320306e-05,0.7229263237587309,-3.04247694e-05,-2.34033694e-05,0.7692209295758871
Standard,1,1,KCl,-0.8,0.102,3.6993928762541805e-05,2.678962876254181e-05,0.7241628466795244,-3.41501712374582e-05,-2.8404271237458195e-05,0.8317460852524946
Standard,1,1,KCl,-0.8,0.101,3.600659193333333e-05,1.8947691933333333e-05,0.5262284186299895,-3.350440806666666e-05,-2.7245908066666665e-05,0.8132036838989392
Standard,1,1,KCl,0.8,2.1,-4.9791858193979935e-05,-4.799175819397993e-05,0.9638475030799786,5.940394180602007e-05,5.880784180602007e-05,0.9899653123702375
Standard,1,1,KCl,0.8,1.6,-4.871151652173913e-05,-4.8532616521739126e-05,0.9963273572088406,5.912528347826087e-05,5.904178347826087e-05,0.9985877446146926
Standard,1,1,KCl,0.8,1.1,-4.769381976588629e-05,-4.769381976588629e-05,1.0,5.808058023411371e-05,5.7651480234113714e-05,0.9926119884086838
Standard,1,1,KCl,0.8,0.85,-4.781788675585284e-05,-4.6101286755852846e-05,0.9641012993994368,5.726501324414716e-05,5.675251324414716e-05,0.991050381883001
Standard,1,1,KCl,0.8,0.6,-4.2986190033444816e-05,-4.204449003344481e-05,0.9780929642923152,5.275080996655519e-05,5.266730996655519e-05,0.9984170859167292
Standard,1,1,KCl,0.8,0.5,-4.30908327e-05,-4.20656327e-05,0.9762083966411724,5.25627673e-05,5.34210673e-05,1.0163290489464012
Standard,1,1,KCl,0.8,0.3,-3.455937603333333e-05,-3.644287603333333e-05,1.0545004052788258,4.454792396666667e-05,4.463142396666667e-05,1.001874385887488
Standard,1,1,KCl,0.8,0.2,-1.87776209e-05,-1.85988109e-05,0.9904774944093158,2.47576091e-05,2.41616091e-05,0.9759265930085308
Standard,1,1,KCl,0.8,0.18,-1.981426553333333e-05,-1.835991553333333e-05,0.9266008625172928,2.6379364466666665e-05,2.697536446666667e-05,1.0225934176978797
Standard,1,1,KCl,0.8,0.15,-4.787121756666666e-05,-4.796661756666666e-05,1.0019928467427666,5.807008243333334e-05,5.772438243333333e-05,0.9940468484714676
Standard,1,1,KCl,0.8,0.14,-4.693506556666667e-05,-4.599326556666667e-05,0.9799339792406966,5.626443443333334e-05,5.618103443333333e-05,0.9985177137060032
Standard,1,1,KCl,0.8,0.12,-4.67797418729097e-05,-4.44671418729097e-05,0.9505640709544138,5.50368581270903e-05,5.564485812709031e-05,1.0110471422368628
Standard,1,1,KCl,0.8,0.11,-4.337275565217392e-05,-4.088125565217392e-05,0.9425561054967204,5.203044434782609e-05,5.219734434782609e-05,1.0032077373563113
Standard,1,1,KCl,0.8,0.105,-4.6001483233333335e-05,-3.990988323333333e-05,0.8675781828794177,5.412231676666667e-05,5.453961676666667e-05,1.007710312952771
Standard,1,1,KCl,0.8,0.102,-4.311978956521739e-05,-3.694478956521739e-05,0.85679429184921,5.202111043478261e-05,5.202111043478261e-05,1.0
Standard,1,1,KCl,0.8,0.101,-4.564252466666666e-05,-3.2446124666666666e-05,0.7108748892315876,5.334887533333334e-05,5.412367533333333e-05,1.01452326773824
Standard,1,3,MgCl2,-0.5,2.1,3.020525658862876e-05,2.840515658862876e-05,0.9404044128968704,-2.027984341137124e-05,-2.525094341137124e-05,1.2451251668547214
Standard,1,3,MgCl2,-0.5,1.6,2.337735033444816e-05,2.020645033444816e-05,0.8643601625233183,-2.220824966555184e-05,-1.946644966555184e-05,0.8765413735305344
Standard,1,3,MgCl2,-0.5,1.1,2.3928582909699e-05,2.0745682909699e-05,0.8669833474045857,-2.1585617090301e-05,-1.8843717090301004e-05,0.8729756027576341
Standard,1,3,MgCl2,-0.5,0.85,1.924284836120401e-05,1.3675748361204012e-05,0.7106925183059714,-1.8808751638795987e-05,-1.5029861638795987e-05,0.7990887395096733
Standard,1,3,MgCl2,-0.5,0.6,1.4190341939799332e-05,1.5906941939799332e-05,1.1209696008230423,-1.5719278060200668e-05,-8.960114060200669e-06,0.5700079880186486
Standard,1,3,MgCl2,-0.5,0.5,1.4935630433333337e-05,1.922713043333333e-05,1.2873330335237962,-1.2911679566666666e-05,-9.490369566666666e-06,0.7350220796345817
Standard,1,3,MgCl2,-0.5,0.3,2.7000137933333333e-05,3.0183037933333333e-05,1.1178845829550563,-1.1385202066666668e-05,-1.7131092066666667e-05,1.5046805464105626
Standard,1,3,MgCl2,-0.5,0.2,2.993330163333333e-05,2.889620163333333e-05,0.9653529699896152,-2.5773198366666665e-05,-2.4747998366666667e-05,0.960222243843592
Standard,1,3,MgCl2,-0.5,0.18,2.959654913333333e-05,2.728384913333333e-05,0.9218591333205362,-2.5680850866666663e-05,-2.3463550866666663e-05,0.9136594028168272
Standard,1,3,MgCl2,-0.5,0.15,2.438442173333333e-05,2.207182173333333e-05,0.9051607610264266,-2.3001278266666662e-05,-2.0009078266666668e-05,0.8699115777258224
Standard,1,3,MgCl2,-0.5,0.14,2.2909975733333337e-05,2.051387573333333e-05,0.8954123728505854,-2.1567024266666664e-05,-1.8562924266666667e-05,0.8607086465496753
Standard,1,3,MgCl2,-0.5,0.12,2.224721371237457e-05,1.941001371237457e-05,0.8724694230620951,-2.1633686287625417e-05,-1.846278628762542e-05,0.8534276610170792
Standard,1,3,MgCl2,-0.5,0.11,1.979960966555184e-05,1.5603409665551837e-05,0.7880665290437154,-2.0397790334448163e-05,-1.593932033444816e-05,0.7814238735226895
Standard,1,3,MgCl2,-0.5,0.105,2.0511928466666666e-05,1.3907728466666664e-05,0.6780312484644098,-1.908937153333333e-05,-1.4881331533333334e-05,0.7795611032740373
Standard,1,3,MgCl2,-0.5,0.102,1.8918863244147155e-05,1.145636324414716e-05,0.6055524106445118,-1.8524736755852843e-05,-1.4078256755852842e-05,0.7599706782016674
Standard,1,3,MgCl2,-0.5,0.101,2.07079812e-05,1.01579812e-05,0.4905345963903039,-2.02523188e-05,-1.53766488e-05,0.7592537403667574
Standard,1,3,MgCl2,0.5,2.1,-2.2907511170568563e-05,-2.479101117056856e-05,1.082221939606425,2.989028882943144e-05,3.014058882943144e-05,1.008373957221636
Standard,1,3,MgCl2,0.5,1.6,-2.3509019632107024e-05,-2.4021619632107023e-05,1.021804397121687,2.9968280367892976e-05,3.090998036789297e-05,1.031423224437292
Standard,1,3,MgCl2,0.5,1.1,-2.3620646555183945e-05,-2.4037846555183945e-05,1.0176625139801023,2.960635344481606e-05,2.909375344481606e-05,0.9826861487364378
Standard,1,3,MgCl2,0.5,0.85,-2.487557391304348e-05,-2.274177391304348e-05,0.9142210745585596,2.9030826086956525e-05,2.9710326086956525e-05,1.0234061544774744
Standard,1,3,MgCl2,0.5,0.6,-2.355884899665552e-05,-2.295084899665552e-05,0.9741922875737132,2.770115100334448e-05,2.778465100334448e-05,1.00301431518098
Standard,1,3,MgCl2,0.5,0.5,-2.312022083333333e-05,-2.312022083333333e-05,1.0,2.7197979166666667e-05,2.7531779166666667e-05,1.012272970648095
Standard,1,3,MgCl2,0.5,0.3,-2.062115243333333e-05,-2.070455243333333e-05,1.0040443908394363,2.4118147566666665e-05,2.4201547566666665e-05,1.003457977017906
Standard,1,3,MgCl2,0.5,0.2,-1.3467512466666669e-05,-1.2442312466666669e-05,0.923876068239219,1.575069753333333e-05,1.5154597533333332e-05,0.962154057067094
Standard,1,3,MgCl2,0.5,0.18,-8.449674199999998e-06,-8.6165672e-06,1.019751412427239,1.18636278e-05,1.16967278e-05,0.9859317906113002
Standard,1,3,MgCl2,0.5,0.15,-2.427072416666667e-05,-2.3925024166666663e-05,0.9857565024584316,3.0148375833333334e-05,2.963577583333333e-05,0.9829974257043312
Standard,1,3,MgCl2,0.5,0.14,-2.398239663333333e-05,-2.373209663333333e-05,0.9895631781999592,2.9578303366666667e-05,2.9494903366666667e-05,0.9971803656563348
Standard,1,3,MgCl2,0.5,0.12,-2.3084345050167225e-05,-2.326314505016722e-05,1.0077455088984084,2.730545494983277e-05,2.9367754949832777e-05,1.0755270331070836
Standard,1,3,MgCl2,0.5,0.11,-2.2338807759197324e-05,-2.3793207759197325e-05,1.0651064289409624,2.8229792240802675e-05,2.857549224080268e-05,1.0122459278853757
Standard,1,3,MgCl2,0.5,0.105,-2.32525903e-05,-2.11068903e-05,0.9077221087063148,2.85200097e-05,2.83412097e-05,0.993730717419777
Standard,1,3,MgCl2,0.5,0.102,-2.3555054782608694e-05,-2.1838454782608697e-05,0.9271239224089004,2.8300945217391303e-05,2.86466452173913e-05,1.0122151397186396
Standard,1,3,MgCl2,0.5,0.101,-2.361176083333333e-05,-1.846196083333333e-05,0.7818968252155979,2.8506539166666664e-05,2.7469439166666667e-05,0.9636188737630872
Standard,1,3,MgCl2,-0.8,2.1,4.5598522207357854e-05,3.8386422207357856e-05,0.8418347865046327,-4.655027779264214e-05,-3.934997779264214e-05,0.8453220831017662
Standard,1,3,MgCl2,-0.8,1.6,4.694542090301004e-05,3.982862090301004e-05,0.8484026798970784,-4.597817909698997e-05,-3.980317909698996e-05,0.8656971606688909
Standard,1,3,MgCl2,-0.8,1.1,4.458025408026756e-05,3.798795408026756e-05,0.852125113775026,-4.455254591973245e-05,-3.743574591973244e-05,0.8402605316243452
