IDSant (2-3s) [A],IDSant (2-3s) [A],"IDSdep (+3, +4s) [A]","IDSdep (+3, +4s) [A]",delIDS [A],delIDS [A],RatioIDS,RatioIDS
mean,std,mean,std,mean,std,mean,std
8.08401066334991e-06,5.04464016794867e-07,8.361731061359863e-06,5.183008101173077e-07,2.777203980099533e-07,3.9090811574755846e-08,1.0343782874556244,0.004459328413099055
8.005190199004967e-06,5.177237395289627e-07,8.078178490878929e-06,4.874764913791711e-07,7.298829187396235e-08,6.186066734609917e-08,1.0093270516696584,0.007925876841252762
7.943747263681584e-06,5.306959393407432e-07,8.131713930348254e-06,5.80902200948429e-07,1.8796666666667063e-07,5.3277435295588265e-08,1.0234437788365682,0.005399564397572015
7.968696069651736e-06,5.181990097105848e-07,8.209842553897172e-06,4.7374012344901283e-07,2.411464842454377e-07,5.087729988477994e-08,1.0306060817612508,0.0084434775337311
7.92253424543946e-06,5.410396519592299e-07,7.96915043117744e-06,5.344628739006708e-07,4.661618573797801e-08,6.627290304756806e-09,1.0059425372485633,0.0012907491508793432
7.807595373134321e-06,5.153737135411207e-07,7.949717512437804e-06,5.489774171918767e-07,1.4212213930348188e-07,5.4207968362608665e-08,1.0180705434850335,0.006198521898387725
7.851048358208947e-06,5.402221829360384e-07,8.095713963515748e-06,5.748497161725619e-07,2.44665605306801e-07,4.9286824067009696e-08,1.0310629852083457,0.004932602933160113
8.212155339966825e-06,4.5854282036332016e-07,8.168188291873955e-06,4.440105707064003e-07,-4.396704809286907e-08,3.265350156729978e-08,0.9947054301911725,0.0037384498636939137
8.059239585406294e-06,4.182898031817407e-07,8.082290812603636e-06,4.372527132777126e-07,2.3051227197343194e-08,4.719263375403769e-08,1.0027910470922903,0.005682640284085607
8.109077993366497e-06,5.225068269172655e-07,8.061849104477608e-06,5.188010725682752e-07,-4.7228888888889864e-08,4.587714965034329e-08,0.9941885320496268,0.00542264072447249
8.165658258706463e-06,5.237327785010799e-07,8.16107170812603e-06,5.364172984926455e-07,-4.586550580431211e-09,2.4006439922530643e-08,0.999368811013189,0.002941635132168851
8.035259386401315e-06,4.680855882069257e-07,8.07054784411276e-06,4.919717821295731e-07,3.528845771144697e-08,5.6293697328604864e-08,1.0042960760693695,0.0067493642566181684
8.129164029850737e-06,4.314330542299496e-07,8.073414361525696e-06,4.6022664656439224e-07,-5.574966832504132e-08,3.579943839070766e-08,0.9930015814246982,0.004755753821170435
8.0214407296849e-06,5.67824415628833e-07,8.077763582089545e-06,5.574193538651571e-07,5.6322852404644963e-08,2.38146539713357e-08,1.007113390505135,0.003212003268371158
7.9543234991708e-06,4.983988443111792e-07,7.937855522388049e-06,4.720105612532691e-07,-1.6467976782752948e-08,2.898375435425954e-08,0.9980690900509215,0.0036269991102151193
8.015292189054719e-06,5.031803831577994e-07,8.00789859038142e-06,4.975884039672268e-07,-7.393598673298577e-09,2.284146134620464e-08,0.9991073387631516,0.0027418879356099664
7.944972719734654e-06,4.896552296050345e-07,7.947483300165828e-06,4.839457800500572e-07,2.5105804311755844e-09,8.808982066544213e-09,1.0003480910449973,0.0011324477840905698
7.885822686567155e-06,4.963262637580368e-07,7.92122961857379e-06,5.124850419457242e-07,3.5406932006635225e-08,7.763755522291523e-08,1.0044439547121742,0.009482224347635916
7.941374477611933e-06,5.144562521714665e-07,7.984630082918734e-06,5.280226403170724e-07,4.3255605306800565e-08,5.8392053107473127e-08,1.0054019452310692,0.007058975594888197
7.788300447761189e-06,5.340905636640518e-07,7.77887044776119e-06,4.920123048233685e-07,-9.42999999999984e-09,4.2477087766308115e-08,0.9990435485592896,0.005609435714491883
7.788932951907127e-06,4.850002417053907e-07,7.780531144278602e-06,4.859847306838311e-07,-8.401807628524233e-09,2.5420996102363096e-08,0.9989164638552231,0.0031526153137668017
7.8977435323383e-06,5.269638164234836e-07,7.846284195688217e-06,4.984580384524931e-07,-5.1459336650081845e-08,3.076406870892421e-08,0.9936325946778523,0.0036099871109973782
8.042218109452727e-06,4.5905493565645814e-07,8.142883747927024e-06,4.513476820653652e-07,1.0066563847429703e-07,2.4425289590314408e-08,1.012583667632313,0.0032580257751481405
8.052755257048083e-06,3.9126580498638745e-07,8.200372968490874e-06,4.846186535936682e-07,1.4761771144279121e-07,9.353252623475829e-08,1.0179743500394813,0.011053128821178444
8.097216401326692e-06,4.4779691769686614e-07,8.363826633499166e-06,5.66417155808413e-07,2.666102321724734e-07,1.2704896761306183e-07,1.032449013295145,0.014286401675987104
