Type	Chip	Disp	Electrolyte	Potential [V]	Width [s]	VDS [V]	IDSant (5sp 1sa) [A]	Std IDSant [A]	IDSdep (5sp 10sd) [A]	Std IDSdep [A]	delIDS [A]	Std del IDS [A]	RatioIDS	Std RazIDS
Standard	1	1	KCl	-0.6	0.1	0.1	6.37227259481039e-06	4.832389453731453e-08	6.390879161676667e-06	4.7075675851715686e-08	1.8606566866277132e-08	6.7463457072324e-08	1.0029199263825328	0.010602904842748
Standard	1	1	KCl	0.7	0.1	0.1	6.3736049101796486e-06	5.2853817465173874e-08	6.401372514970067e-06	4.9199396484736094e-08	2.7767604790418728e-08	7.220877117846682e-08	1.0043566561124724	0.0113558162628174
Standard	1	1	KCl	-0.7	0.1	0.1	6.3527848902195785e-06	4.717764379277469e-08	6.371558702594823e-06	4.8208557772592297e-08	1.877381237524493e-08	6.74521691004174e-08	1.0029552098331156	0.010633093563842
Standard	1	1	KCl	0.8	0.1	0.1	6.381147564870272e-06	5.8344271942139123e-08	6.416790778443125e-06	5.214915177826773e-08	3.56432135728527e-08	7.825335839215519e-08	1.0055857058954532	0.012301335864242
Standard	1	1	KCl	-0.8	0.1	0.1	6.384645249501009e-06	5.822917357637513e-08	6.435992994011982e-06	5.326093221694452e-08	5.134774451097285e-08	7.891364619636823e-08	1.008042380195671	0.012414131963262
Standard	1	1	KCl	0.1	1.0	0.1	6.508829199999999e-06	2.4203554625091683e-08	6.4911852e-06	1.9750635870931498e-08	-1.7643999999998302e-08	3.1239392980592995e-08	0.9972892206174347	0.0047917353676987
Standard	1	1	KCl	-0.1	1.0	0.1	6.521465000000001e-06	2.0350875050132867e-08	6.508828800000001e-06	2.6492168934557732e-08	-1.26361999999997e-08	3.3406483355230113e-08	0.9980623678881968	0.0051188615036382
Standard	1	1	KCl	0.2	1.0	0.1	6.455658199999999e-06	2.0324292360600925e-08	6.481409599999998e-06	1.9156654618259092e-08	2.5751399999998864e-08	2.792945176909938e-08	1.0039889658346532	0.0043354996478138
Standard	1	1	KCl	-0.2	1.0	0.1	6.456373399999997e-06	2.1541751829355712e-08	6.4690106000000006e-06	2.3551200186930964e-08	1.2637200000003329e-08	3.1917175660174687e-08	1.001957321737309	0.0049479245594519
Standard	1	1	KCl	0.3	1.0	0.1	6.439446000000001e-06	2.3924556251615844e-08	6.4682952e-06	1.8501366991966497e-08	2.8849199999998524e-08	3.0243759230759616e-08	1.004480074838736	0.0047098179987519
Standard	1	1	KCl	-0.3	1.0	0.1	6.453751599999998e-06	2.5247731549748423e-08	6.479025000000002e-06	2.991362055816643e-08	2.5273400000003884e-08	3.91442542821564e-08	1.0039160788277013	0.0060752413842604
Standard	1	1	KCl	0.4	1.0	0.1	6.494523600000001e-06	1.9715156063603666e-08	6.493331000000002e-06	3.74084998117175e-08	-1.1925999999995047e-09	4.22857332533742e-08	0.9998163683630312	0.0065107231954694
Standard	1	1	KCl	-0.4	1.0	0.1	6.4804564e-06	2.2962767002436e-08	6.5484048e-06	2.9538595592055828e-08	6.794840000000089e-08	3.7414132329364304e-08	1.0104851257081215	0.0057962558546766
Standard	1	1	KCl	0.5	1.0	0.1	6.519319600000002e-06	2.0805541742133784e-08	6.5200346e-06	2.5074725482046585e-08	7.14999999997502e-10	3.258239440531754e-08	1.00010967402181	0.004998044813958
Standard	1	1	KCl	-0.5	1.0	0.1	6.5288552e-06	2.277603773392428e-08	6.549596199999999e-06	2.0589139488019923e-08	2.074099999999845e-08	3.07027777198462e-08	1.0031768203405704	0.0047108551135046
Standard	1	1	KCl	0.6	1.0	0.1	6.518126999999998e-06	2.9719566649544732e-08	6.6134936e-06	1.85471828280508e-08	9.536660000000164e-08	3.5032137141400245e-08	1.0146309821824584	0.0054312797742049
