IDSmed [A],IDSmed [A],delIDS [A],delIDS [A],Gn [S],Gn [S]
mean,std,mean,std,mean,std
6.6336262705135596e-06,2.647806001506455e-06,-1.3246440744296735e-07,7.185273062968411e-08,1.259467742547693e-07,3.5437119808411124e-07
6.650925380805954e-06,2.674248524588249e-06,1.7299110292393987e-08,2.7107338709583234e-08,3.7130075134466847e-07,3.208474981383926e-07
6.663290098648151e-06,2.6827416191307773e-06,1.2364717842198255e-08,1.0879651323431487e-08,4.999041125435854e-07,4.435347919165806e-07
6.671064449885004e-06,2.6908966846510725e-06,7.774351236851848e-09,8.79468475412928e-09,4.423703550419045e-07,4.677061816470415e-07
6.679016024691009e-06,2.7011041114890324e-06,7.95157480600513e-09,1.0228857695244457e-08,5.157736324900873e-07,6.029391930447601e-07
6.686318452390576e-06,2.70676529877526e-06,7.30242769956684e-09,5.706996974347152e-09,5.339519087306014e-07,4.5601602422225785e-07
6.692581744497754e-06,2.7082133059106833e-06,6.263292107177849e-09,1.5572484915332116e-09,4.914579064026322e-07,6.42550577773265e-07
6.695174315988576e-06,2.711138883514988e-06,2.5925714908225928e-09,3.568314800003853e-09,6.084772185097656e-07,6.670559469683861e-07
6.697498193375395e-06,2.709724096681241e-06,2.3238773868191247e-09,1.4544659995706343e-09,7.770837017546074e-07,6.49972686686929e-07
6.704299854239555e-06,2.7164536066527734e-06,6.801660864160415e-09,6.730294364864881e-09,7.085517112891018e-07,4.959901593950335e-07
6.820986224435425e-06,2.6686461389912065e-06,1.1668637019587028e-07,8.551341247085536e-08,1.9614074760513535e-06,3.78269146640014e-07
6.809247532639044e-06,2.650070128729706e-06,-1.1738691796382165e-08,1.944520704775416e-08,1.6202994019059272e-06,5.729211152202715e-07
6.800898906552296e-06,2.6444692333393353e-06,-8.34862608674731e-09,5.74994860093452e-09,1.5636547090577974e-06,5.37321898233977e-07
6.792842171421398e-06,2.6350367735741186e-06,-8.05673513089819e-09,9.806643401796362e-09,1.7355792359740573e-06,3.523279756968074e-07
6.786821444393354e-06,2.6337212831492808e-06,-6.02072702804463e-09,1.5891861984247789e-09,1.7341017477202443e-06,3.950414383538025e-07
6.783299028256806e-06,2.630002904735996e-06,-3.5224161365474078e-09,3.768582214967221e-09,1.7497115749945086e-06,3.9037634567792383e-07
6.779838320388385e-06,2.6277338309476435e-06,-3.460707868421582e-09,2.8627116063043347e-09,1.4311478829093104e-06,5.738963690239974e-07
6.779745338765982e-06,2.62654125229622e-06,-9.29816224024136e-11,1.4240250652478067e-09,1.6311584163725906e-06,5.931218054810369e-07
6.776171616706961e-06,2.628685308435617e-06,-3.5737220590214234e-09,2.2389209506289268e-09,1.5572389347343152e-06,5.638256113679501e-07
6.774462335101816e-06,2.624143049817566e-06,-1.7092816051439322e-09,6.147480742499818e-09,1.3637993148829637e-06,5.923739577179586e-07
6.64295892249811e-06,2.656384702159669e-06,-1.3150341260370653e-07,7.328092629144353e-08,-1.394049300414674e-08,8.17016566648677e-08
6.6552415300217644e-06,2.676626061236075e-06,1.228260752365382e-08,2.1924755462903662e-08,2.975688125620052e-07,2.5973347745751545e-07
6.6688180453411405e-06,2.6838080771646395e-06,1.3576515319376389e-08,7.63548162413298e-09,3.0879400388973655e-07,4.086072701670145e-07
6.677483331903507e-06,2.6997153473919192e-06,8.665286562367003e-09,1.6164111363848466e-08,4.7092989638079726e-07,5.571765783458433e-07
6.688568262802619e-06,2.704579789486307e-06,1.1084930899111311e-08,6.252904074428678e-09,4.936799719809241e-07,3.591777744688908e-07
6.692586353551633e-06,2.7086274343556416e-06,4.018090749013654e-09,4.0478253523559335e-09,6.725239334701933e-07,7.579763858981697e-07
6.701371068137026e-06,2.713771867205365e-06,8.784714585393561e-09,6.201457857485737e-09,6.729092394797194e-07,4.865041702577817e-07
6.705773922514406e-06,2.720018123333968e-06,4.402854377379602e-09,6.342305577163348e-09,6.131235682329437e-07,5.267476886358819e-07
6.707199010710004e-06,2.7201994568938895e-06,1.4250881955983157e-09,8.860856365692138e-10,7.272399983868837e-07,6.929447308253917e-07
6.710964721416228e-06,2.7243919132076924e-06,3.765710706223238e-09,4.201998392551139e-09,6.992421379950648e-07,7.878024453586621e-07
6.828694826784461e-06,2.6780182695552476e-06,1.1773010536823429e-07,8.543815897152423e-08,2.0641319937547836e-06,7.690276354401907e-07
6.815289253836454e-06,2.6582957563589627e-06,-1.340557294800751e-08,2.0146330961637666e-08,1.8307940114135068e-06,5.803495397638926e-07
