A1_first [A],A1_first [A],A2_first [A],A2_first [A],Rat_first,Rat_first,A1_last [A],A1_last [A],A2_last [A],A2_last [A],Rat_last,Rat_last
mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
1.704512217777778e-05,9.92425901852181e-07,1.8499488844444447e-05,9.77162224876146e-07,1.0857585104609255,0.02765630532789173,-5.235087822222222e-06,1.6440704390034903e-06,-6.2761851555555534e-06,1.6761878139073719e-06,1.2107471297694061,0.0568489666560823
1.6489547852348994e-05,8.503593658877375e-07,1.7463114519015665e-05,9.76571775457672e-07,1.0588901133354933,0.005323077162253913,-4.825065480984339e-06,8.584581829967671e-07,-5.524432147651005e-06,9.967674149236938e-07,1.144952752029182,0.04686155738573918
1.6023598210290825e-05,8.806865664881603e-07,1.6865998210290825e-05,1.1348433357404835e-06,1.0526173183938123,0.04052221222704665,-5.140055123042508e-06,2.638397579159229e-07,-4.838058456375841e-06,1.2061906245860287e-06,0.9352948187859406,0.18905046803745817
1.623270944071588e-05,8.015904663908509e-07,1.6490976107382547e-05,7.22587890238735e-07,1.0161125784867957,0.009735114490383164,-5.507093892617452e-06,1.2773685347983273e-06,-4.5573938926174515e-06,7.760207134518005e-07,0.8498478287175448,0.19235100547937303
1.5756651208053688e-05,6.620960379287218e-07,1.624148454138702e-05,6.157109308472977e-07,1.030918757190596,0.0114550044780132,-7.298406791946312e-06,6.576763713097156e-07,-4.2943354586129785e-06,5.747474074555978e-07,0.5869583427362107,0.027898407847915946
1.644186451901566e-05,7.554709155348385e-07,1.6918697852348993e-05,8.819442940411578e-07,1.0288801822078175,0.01519043513193907,-7.0304414809843406e-06,3.3030297353092006e-07,-4.18133748098434e-06,6.186639990303946e-07,0.5929675758875316,0.06049954900728621
7.86588513333333e-06,4.2165264529804403e-07,9.908351799999999e-06,1.3963042225881548e-07,1.2623779281484548,0.07719000858338303,-5.86031533333335e-07,3.5514407546821853e-07,-7.818063200000001e-06,5.876684708188608e-07,20.047151480286388,16.831234938913134
1.2293319172259508e-05,5.676718946007852e-07,1.0727685838926174e-05,4.154275853869196e-07,0.8729811174269414,0.02079696894061675,-8.608057494407159e-06,7.949644486577437e-07,-7.900747261073824e-06,3.4082963631798487e-07,0.920605083834296,0.046394654721833684
8.0721482e-06,7.022668239574106e-07,1.1799414866666669e-05,6.397848707999936e-07,1.4667851575925654,0.10677660254630354,-3.7582846666666686e-07,1.620883127019494e-07,-7.866143466666668e-06,9.234965085433528e-07,25.303787268298038,15.448131818639245
1.2494263870246087e-05,4.26805870693357e-07,1.2021397203579422e-05,7.327341673828669e-07,0.9616008501969827,0.028291187965355544,-8.506447129753913e-06,7.963439505489303e-07,-7.90245479642058e-06,7.196393485318043e-07,0.9297779814495688,0.040124814748524994
1.2775234608501118e-05,6.153962580121624e-07,1.2103667941834454e-05,2.7916218535302597e-07,0.9483338364200801,0.031441814173490165,-8.952668724832214e-06,3.2288854331142036e-07,-8.173835058165546e-06,1.7370752220739522e-07,0.9135389645261925,0.027772101725204036
