Type,Chip,Disp,Electrolyte,Potential [V],Period [s],Pulses #,IDSant (2-3s) [A],Std IDSant [A],"IDSdep (+3, +4s) [A]",Std IDSdep [A],delIDS [A],Std del IDS [A],RatioIDS,Std RazIDS
Enode,1,1,MgCl2,-0.8,0.105,20,9.723029800995012e-06,1.0413226323268013e-07,1.0106449800995032e-05,1.0811786403717109e-07,3.834200000000205e-07,1.5010996226073866e-07,1.0394342101019565,0.0157345164879522
Enode,1,1,MgCl2,-0.8,0.25,50,9.431708457711448e-06,9.381623941572941e-08,9.972715771144277e-06,1.0054838171013685e-07,5.410073134328289e-07,1.3751895812082362e-07,1.057360478842038,0.0149755430856022
Enode,1,1,MgCl2,-0.8,0.15,50,9.547418756218906e-06,1.0069776043162673e-07,1.002573497512438e-05,1.0698623059125137e-07,4.783162189054726e-07,1.469220626457092e-07,1.050099009074459,0.0157555236565746
Enode,1,1,MgCl2,-0.8,0.125,50,9.554535721393035e-06,9.730805885229649e-08,1.005361099502488e-05,1.077289096853996e-07,4.990752736318438e-07,1.451701632554258e-07,1.0522343825157712,0.0155554465527007
Enode,1,1,MgCl2,-0.8,0.11,50,9.594865621890554e-06,9.378127765570457e-08,1.0047620945273634e-05,1.1164804113195173e-07,4.5275532338308e-07,1.4580882390081313e-07,1.047187250059045,0.0154972143375542
Enode,1,1,MgCl2,-0.8,0.105,50,9.782159601990045e-06,1.1070571996442105e-07,1.0137529452736329e-05,1.1309620991969188e-07,3.55369850746284e-07,1.5826088945484868e-07,1.0363283635930445,0.0164687359904717
Enode,1,1,MgCl2,0.8,0.25,10,9.022423333333324e-06,9.34125547307926e-08,9.310066915422888e-06,9.624636699344962e-08,2.876435820895656e-07,1.3412407889999136e-07,1.0318809671706344,0.0150973818481593
Enode,1,1,MgCl2,0.8,0.15,10,9.714608159203971e-06,1.0516998420697093e-07,9.85540572139303e-06,1.1945706538167596e-07,1.407975621890593e-07,1.5915626298608717e-07,1.014493385619024,0.0164872920125306
Enode,1,1,MgCl2,0.8,0.125,10,9.70849945273631e-06,1.2101463446294008e-07,9.86608014925373e-06,1.206324152890822e-07,1.575806965174205e-07,1.7087048127946673e-07,1.0162312103208706,0.0177439539153819
Enode,1,1,MgCl2,0.8,0.11,10,9.707016218905466e-06,9.449458212845773e-08,9.870412189054715e-06,9.483215462164769e-08,1.63395970149251e-07,1.3387443221846333e-07,1.0168327698712425,0.0139076572980298
Enode,1,1,MgCl2,0.8,0.105,10,9.730383980099492e-06,9.649686655057549e-08,9.907300398009942e-06,9.912749243192225e-08,1.7691641791045088e-07,1.3833981715298157e-07,1.018181853693778,0.0143436578848508
Enode,1,1,MgCl2,0.8,0.25,20,9.140031044776108e-06,9.391236623258412e-08,9.519544079601993e-06,1.0243538133024969e-07,3.795130348258825e-07,1.389695645804385e-07,1.0415220728427164,0.01549599553063
Enode,1,1,MgCl2,0.8,0.15,20,9.449738059701504e-06,1.102548812920156e-07,9.838561641791038e-06,1.1151514232960053e-07,3.888235820895337e-07,1.5681761960158534e-07,1.0411464931231984,0.0169358893993253
Enode,1,1,MgCl2,0.8,0.125,20,9.473580099502496e-06,1.0083656602636797e-07,9.805883930348254e-06,1.0932698717597189e-07,3.323038308457581e-07,1.4872929493870797e-07,1.0350769009556595,0.0159548682475183
Enode,1,1,MgCl2,0.8,0.11,20,9.490483184079613e-06,1.0962497879503104e-07,9.862877960198996e-06,1.0431305211869893e-07,3.723947761193831e-07,1.5132365584444953e-07,1.0392387583325662,0.0162761296235199
Enode,1,1,MgCl2,0.8,0.105,20,9.493330099502492e-06,1.0154644586094625e-07,9.885534776119396e-06,1.0975292685425124e-07,3.922046766169016e-07,1.4952386304555106e-07,1.04131370894155,0.0160538094088486
