VGSmin [V]	VGSmin [V]	IDSmin [A]	IDSmin [A]	IDSmax [A]	IDSmax [A]	Ronoff	Ronoff	Res [ohm]	Res [ohm]	IDS(-0.6V) [A]	IDS(-0.6V) [A]	IDS(+0.6V) [A]	IDS(+0.6V) [A]	VGS min |gm| [V]	VGS min |gm| [V]	min |gm| [S]	min |gm| [S]	VGS min gm [V]	VGS min gm [V]	min gm [S]	min gm [S]	VGS max gm [V]	VGS max gm [V]	max gm [S]	max gm [S]
mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std
0.04	0.0282842712474619	4.44062e-06	1.6603475334091954e-06	9.186675e-06	2.0596959875792353e-06	2.131029095009924	0.3329609185077138	24049.70098589932	8860.730962655705	9.186675e-06	2.0596959875792353e-06	6.8311415e-06	2.3290280107857224e-06	0.04	0.0282842712474619	9.67124999999927e-08	8.18476099222706e-09	-0.6	0.0	-5.164974999999992e-05	9.974801808808015e-06	0.6	0.0	7.879824999999972e-06	1.3547812374143498e-06
0.06	0.028284271247461905	4.44186e-06	1.6619173104634302e-06	9.205448500000001e-06	2.061670936819089e-06	2.135040627254355	0.3346773739284049	24036.458988389895	8854.700437753605	9.205448500000001e-06	2.061670936819089e-06	6.816390000000001e-06	2.3233506504395766e-06	0.04	0.0282842712474619	1.7841249999998887e-07	5.846005313460022e-08	-0.6	0.0	-5.1697349999999974e-05	1.0334860581788265e-05	0.6	0.0	7.868674999999991e-06	1.3494072258773328e-06
0.05	0.042426406871192854	4.441935e-06	1.6668232173113019e-06	9.1909835e-06	2.081222439318897e-06	2.1312839708541733	0.33121852660704465	24030.436138242607	8873.294251332041	9.1909835e-06	2.081222439318897e-06	6.8016135e-06	2.319079018374428e-06	0.06	0.028284271247461905	1.5858750000000471e-07	8.543617683686628e-08	-0.6	0.0	-5.0205925e-05	1.0021718343739707e-05	0.6	0.0	7.873675000000002e-06	1.2960913745759227e-06
0.06	0.028284271247461905	4.438963e-06	1.6644020836925192e-06	9.236254999999999e-06	2.1107349550452792e-06	2.142161061950631	0.32770770562186063	24035.242933624017	8869.743629521947	9.236254999999999e-06	2.1107349550452792e-06	6.7897615e-06	2.3208821406664537e-06	0.06	0.028284271247461905	1.6658749999999512e-07	1.2128649064302138e-07	-0.6	0.0	-5.1778249999999934e-05	9.128889966474574e-06	0.6	0.0	7.933825e-06	1.3489122511305034e-06
0.06	0.028284271247461905	4.440295e-06	1.6683590532400394e-06	9.227149999999999e-06	2.088680294540071e-06	2.1407904716869304	0.33397034881439913	24022.123595963327	8876.47968159609	9.227149999999999e-06	2.088680294540071e-06	6.7763115e-06	2.3218112789769326e-06	0.06	0.028284271247461905	4.982500000000253e-08	1.4142135623752387e-08	-0.6	0.0	-5.043167499999993e-05	1.0545330915208414e-05	0.6	0.0	7.899150000000002e-06	1.4627917982406043e-06
0.06	0.028284271247461905	4.4408685e-06	1.6692973839386734e-06	9.2892565e-06	2.0951764845388316e-06	2.155366234012437	0.3383956834857596	24009.749525049236	8873.476448032341	9.2892565e-06	2.0951764845388316e-06	6.7642565e-06	2.319612176887443e-06	0.06	0.028284271247461905	6.866250000001589e-08	6.80059946806252e-08	-0.6	0.0	-5.265724999999997e-05	1.0366751097619735e-05	0.6	0.0	7.883074999999987e-06	1.4082385100720908e-06
0.06	0.028284271247461905	4.442292e-06	1.6650031244565275e-06	9.2834735e-06	2.108446050394579e-06	2.152003414607759	0.3319561971091627	23961.958251587945	8800.977543940186	9.2834735e-06	2.108446050394579e-06	6.7476084999999995e-06	2.3199586592102237e-06	0.06	0.028284271247461905	1.0949999999998939e-07	1.8844395718607728e-08	-0.6	0.0	-5.170759999999992e-05	1.0312091743434004e-05	0.6	0.0	7.922424999999982e-06	1.4049151082004667e-06
0.06	0.028284271247461905	4.4379080000000005e-06	1.6733469844745298e-06	9.292365e-06	2.1085429240236022e-06	2.1576680557973673	0.3384442423416488	24022.33390674118	8900.13569420007	9.292365e-06	2.1085429240236022e-06	6.7380615000000004e-06	2.3202598866990097e-06	0.06	0.028284271247461905	4.8575000000003186e-08	7.884240610235311e-09	-0.6	0.0	-5.11983999999999e-05	1.0465533914951524e-05	0.6	0.0	7.920424999999991e-06	1.4701810641040062e-06
0.06	0.028284271247461905	4.43773e-06	1.6744472426260555e-06	9.3152685e-06	2.1347574937225294e-06	2.162274591056094	0.3348237123645939	23994.3676983697	8884.078121444752	9.3152685e-06	2.1347574937225294e-06	6.724488e-06	2.315866632267498e-06	0.06	0.028284271247461905	4.525000000001452e-08	2.0506096654416503e-08	-0.6	0.0	-5.1705924999999984e-05	9.888570136842344e-06	0.6	0.0	7.964049999999994e-06	1.513562065129792e-06
0.06	0.028284271247461905	4.4367185e-06	1.67688746812793e-06	9.332536499999999e-06	2.129994422444457e-06	2.1675721280912543	0.3391651093967656	24006.675216190386	8903.91026774705	9.332536499999999e-06	2.129994422444457e-06	6.7127315e-06	2.3141787683808047e-06	0.06	0.028284271247461905	1.301624999999881e-07	1.205793838618237e-07	-0.6	0.0	-5.1991674999999957e-05	1.0404828797786618e-05	0.6	0.0	7.882499999999976e-06	1.45543788771627e-06
0.06	0.028284271247461905	4.438085e-06	1.682076924795058e-06	9.34074e-06	2.143325506590168e-06	2.1689410589349305	0.33911026938078853	24079.65900260616	9061.921570380158	9.34074e-06	2.143325506590168e-06	6.7086435e-06	2.32164864441726e-06	0.06	0.028284271247461905	1.2655000000000305e-07	9.01561146013628e-09	-0.6	0.0	-5.175014999999994e-05	1.0273554423859324e-05	0.59	0.014142135623730963	7.860750000000004e-06	1.2865807883689085e-06
0.07	0.014142135623730947	4.4382999999999995e-06	1.6856958973011707e-06	9.37436e-06	2.1655428016550487e-06	2.1764747070546377	0.3387179060916846	23997.55986846021	8914.684693025369	9.37436e-06	2.1655428016550487e-06	6.69017e-06	2.3119238048556017e-06	0.06	0.028284271247461905	6.821250000000473e-08	2.671095865930733e-08	-0.6	0.0	-5.205999999999997e-05	1.033365850026022e-05	0.6	0.0	7.945600000000002e-06	1.5112286127518858e-06
0.07	0.042426406871192854	4.433867e-06	1.6823201695277862e-06	9.3791385e-06	2.1339513919919774e-06	2.181028951848385	0.34625251592495	23991.924147724785	8957.131132909255	9.3791385e-06	2.1339513919919774e-06	6.6914270000000005e-06	2.3270601326136812e-06	0.06	0.028284271247461905	1.8162500000000692e-07	5.557859300126951e-08	-0.6	0.0	-5.242892499999997e-05	1.135178619915167e-05	0.6	0.0	7.924349999999998e-06	1.4642060118029857e-06
0.07	0.042426406871192854	4.435562e-06	1.6878426734888533e-06	9.4295165e-06	2.2037456597222145e-06	2.1899094093012033	0.3364797724326982	23981.30485676164	8943.347849820724	9.4295165e-06	2.2037456597222145e-06	6.669658e-06	2.30977137181367e-06	0.08	0.02828427124746191	2.0753750000002054e-07	1.110687976548893e-07	-0.6	0.0	-5.308807499999997e-05	9.613929863029445e-06	0.6	0.0	7.925899999999968e-06	1.4313255464778175e-06
0.07	0.014142135623730947	4.4307435000000004e-06	1.6804583573729222e-06	9.40661e-06	2.1613708716460486e-06	2.1878860704114405	0.3419923902967206	24007.117696315454	8938.557680293703	9.40661e-06	2.1613708716460486e-06	6.655128e-06	2.3033649843761198e-06	0.08	0.02828427124746191	7.042500000000704e-08	5.939696961965649e-08	-0.6	0.0	-5.240724999999995e-05	1.0673423308620298e-05	0.6	0.0	7.908399999999972e-06	1.3587056800499462e-06
