Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.314,-1.37091e-06,2.57492e-05,6.58035e-06,0.100034
0.316,3.57628e-08,3.05176e-05,6.49691e-06,0.10003
0.318,-9.05991e-07,2.16961e-05,6.53267e-06,0.100034
0.32,-1.2517e-06,1.97887e-05,6.1512e-06,0.100035
0.322,-1.3113e-07,1.88351e-05,6.31809e-06,0.100034
0.324,-9.41753e-07,4.69685e-05,6.31809e-06,0.100031
0.326,-6.07967e-07,3.52859e-05,6.02007e-06,0.100036
0.328,-2.6226e-07,4.41074e-05,6.31809e-06,0.100037
0.33,-9.05991e-07,3.43323e-05,6.18696e-06,0.100037
0.332,-4.29153e-07,2.95639e-05,6.18696e-06,0.100036
0.334,-6.91414e-07,3.43323e-05,6.31809e-06,0.100033
0.336,-4.76837e-07,2.76566e-05,6.6638e-06,0.10003
0.338,-1.03712e-06,3.71933e-05,6.36578e-06,0.100032
0.34,-4.76837e-08,4.1008e-05,6.44922e-06,0.10004
0.342,-1.3113e-07,4.22001e-05,6.31809e-06,0.100036
0.344,-4.76837e-07,4.79221e-05,6.1512e-06,0.100039
0.346,-9.05991e-07,1.97887e-05,6.36578e-06,0.100035
0.348,-9.89437e-07,3.62396e-05,6.49691e-06,0.100036
0.35,-9.41753e-07,3.91006e-05,6.49691e-06,0.100035
0.352,-4.29153e-07,4.60148e-05,6.31809e-06,0.100034
0.354,-4.29153e-07,4.31538e-05,6.49691e-06,0.100037
0.356,-3.93391e-07,3.33786e-05,6.18696e-06,0.100041
0.358,-3.09944e-07,4.41074e-05,6.23465e-06,0.100035
0.36,-4.76837e-07,5.65052e-05,6.31809e-06,0.100041
0.362,-3.93391e-07,5.8651e-05,6.28233e-06,0.100036
0.364,-6.07967e-07,5.36442e-05,6.18696e-06,0.100037
0.366,-8.22544e-07,3.05176e-05,6.53267e-06,0.10004
0.368,-1.03712e-06,3.24249e-05,6.31809e-06,0.100037
0.37,-6.07967e-07,1.78814e-05,6.18696e-06,0.100039
0.372,-6.91414e-07,5.07832e-05,6.36578e-06,0.100043
0.374,-1.2517e-06,5.36442e-05,6.44922e-06,0.100038
0.376,-3.45707e-07,3.8147e-05,6.31809e-06,0.100038
0.378,-7.27177e-07,3.62396e-05,6.44922e-06,0.100036
0.38,-6.07967e-07,4.00543e-05,6.58035e-06,0.100039
0.382,-9.05991e-07,1.97887e-05,6.23465e-06,0.100037
0.384,-4.29153e-07,3.8147e-05,6.28233e-06,0.100036
0.386,-6.91414e-07,3.71933e-05,6.58035e-06,0.100038
0.388,-1.07288e-06,3.05176e-05,6.18696e-06,0.100039
0.39,-2.6226e-07,4.50611e-05,6.61612e-06,0.100035
0.392,-2.14577e-07,3.14713e-05,6.18696e-06,0.100041
0.394,-6.07967e-07,2.57492e-05,6.28233e-06,0.10004
0.396,-4.76837e-07,3.91006e-05,6.61612e-06,0.100039
0.398,-8.58307e-07,3.91006e-05,6.53267e-06,0.100038
0.4,-6.91414e-07,3.33786e-05,5.67436e-06,0.100041
0.402,-6.07967e-07,2.76566e-05,6.40154e-06,0.100043
0.404,-3.93391e-07,2.57492e-05,6.28233e-06,0.100038
0.406,-1.78814e-07,3.52859e-05,6.18696e-06,0.100039
0.408,-5.24521e-07,3.33786e-05,6.31809e-06,0.100038
0.41,-9.53674e-08,3.05176e-05,6.49691e-06,0.100037
0.412,-6.4373e-07,2.76566e-05,6.1512e-06,0.10004
0.414,-6.4373e-07,4.31538e-05,6.6638e-06,0.100036
0.416,-6.91414e-07,3.24249e-05,6.31809e-06,0.10004
0.418,-6.4373e-07,1.69277e-05,6.1512e-06,0.100041
0.42,-8.22544e-07,4.1008e-05,6.40154e-06,0.100044
0.422,-1.03712e-06,5.45979e-05,6.71148e-06,0.100045
0.424,-5.60284e-07,4.1008e-05,5.85318e-06,0.100044
0.426,-9.53674e-08,4.98295e-05,6.31809e-06,0.100041
0.428,-9.89437e-07,1.97887e-05,6.1512e-06,0.100041
0.43,-6.07967e-07,3.71933e-05,6.31809e-06,0.100039
0.432,-3.45707e-07,2.36034e-05,6.23465e-06,0.100042
0.434,-3.09944e-07,3.33786e-05,6.40154e-06,0.100031
