Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.266,-3.45707e-07,2.57492e-05,5.45979e-06,0.100039
0.268,3.57628e-08,4.69685e-05,5.59092e-06,0.10004
0.27,-9.41753e-07,3.91006e-05,5.67436e-06,0.100039
0.272,-4.29153e-07,1.69277e-05,5.76973e-06,0.100038
0.274,-4.76837e-08,3.43323e-05,5.50747e-06,0.100033
0.276,-2.14577e-07,-4.76837e-07,5.72205e-06,0.100039
0.278,-5.60284e-07,2.36034e-05,5.80549e-06,0.100037
0.28,-1.3113e-07,3.14713e-05,5.6386e-06,0.100039
0.282,-2.14577e-07,3.05176e-05,5.6386e-06,0.100038
0.284,-6.4373e-07,3.24249e-05,5.37634e-06,0.100039
0.286,-7.7486e-07,3.05176e-05,5.42402e-06,0.100037
0.288,-7.27177e-07,3.05176e-05,5.76973e-06,0.100036
0.29,-3.45707e-07,1.3113e-05,5.72205e-06,0.100039
0.292,-6.4373e-07,2.67029e-05,5.20945e-06,0.100035
0.294,-2.6226e-07,1.88351e-05,5.34058e-06,0.10004
0.296,-3.09944e-07,2.07424e-05,5.55515e-06,0.100037
0.298,-2.14577e-07,2.45571e-05,5.45979e-06,0.100037
0.3,-6.4373e-07,3.33786e-05,5.67436e-06,0.100038
0.302,-4.76837e-08,1.69277e-05,5.67436e-06,0.100035
0.304,-5.60284e-07,7.15256e-06,5.88894e-06,0.100042
0.306,-2.6226e-07,2.38419e-06,5.6386e-06,0.100037
0.308,-2.6226e-07,2.95639e-05,5.6386e-06,0.100039
0.31,-7.7486e-07,2.86102e-05,5.6386e-06,0.100043
0.312,-1.78814e-07,2.57492e-05,5.55515e-06,0.100032
0.314,-3.45707e-07,2.26498e-05,5.72205e-06,0.100038
0.316,0.0,2.36034e-05,5.50747e-06,0.100041
0.318,-3.09944e-07,2.36034e-05,5.59092e-06,0.100037
0.32,-6.91414e-07,2.76566e-05,5.42402e-06,0.100037
0.322,-6.07967e-07,2.57492e-05,5.50747e-06,0.100038
0.324,-2.6226e-07,3.14713e-05,5.85318e-06,0.100037
0.326,-4.76837e-07,1.12057e-05,5.6386e-06,0.100039
0.328,-5.60284e-07,2.45571e-05,5.50747e-06,0.10003
0.33,-1.78814e-07,4.60148e-05,5.72205e-06,0.100038
0.332,-4.76837e-07,4.1008e-05,5.72205e-06,0.100042
0.334,-1.78814e-07,3.05176e-05,5.76973e-06,0.100041
0.336,-8.22544e-07,2.45571e-05,5.59092e-06,0.100036
0.338,-5.60284e-07,1.50204e-05,5.72205e-06,0.100037
0.34,-2.6226e-07,3.14713e-05,5.59092e-06,0.100036
0.342,-3.09944e-07,3.43323e-05,5.50747e-06,0.100037
0.344,-8.58307e-07,1.97887e-05,5.67436e-06,0.10004
0.346,0.0,2.86102e-05,5.20945e-06,0.100037
0.348,-1.3113e-07,3.71933e-05,5.72205e-06,0.100039
0.35,-5.24521e-07,4.00543e-05,5.76973e-06,0.100038
0.352,-6.07967e-07,3.71933e-05,5.55515e-06,0.100041
0.354,-5.24521e-07,2.76566e-05,6.06775e-06,0.100023
0.356,0.0,3.05176e-05,5.50747e-06,0.100042
0.358,-5.60284e-07,2.16961e-05,5.6386e-06,0.100038
0.36,-6.4373e-07,1.5974e-05,5.50747e-06,0.10004
0.362,-3.09944e-07,2.57492e-05,5.55515e-06,0.100038
0.364,-3.45707e-07,2.57492e-05,5.55515e-06,0.100039
0.366,-2.14577e-07,1.97887e-05,5.55515e-06,0.100035
0.368,-2.14577e-07,1.88351e-05,5.50747e-06,0.100037
0.37,-5.60284e-07,3.62396e-05,5.67436e-06,0.100033
0.372,-3.45707e-07,2.76566e-05,5.37634e-06,0.100041
0.374,-2.6226e-07,1.12057e-05,5.42402e-06,0.100039
0.376,-4.76837e-07,1.43051e-06,5.6386e-06,0.100032
0.378,-6.07967e-07,1.97887e-05,5.59092e-06,0.100036
0.38,-4.29153e-07,3.33786e-05,5.72205e-06,0.100034
0.382,-1.78814e-07,3.33786e-05,5.72205e-06,0.100035
0.384,-9.53674e-08,2.67029e-05,5.85318e-06,0.100028
0.386,-4.76837e-07,2.07424e-05,5.98431e-06,0.100034
0.388,-6.91414e-07,1.0252e-05,5.67436e-06,0.100039
0.39,-3.45707e-07,2.95639e-05,5.76973e-06,0.100036
0.392,-6.4373e-07,2.45571e-05,5.6386e-06,0.100037
0.394,-5.60284e-07,9.29832e-06,5.45979e-06,0.100041
0.396,-1.3113e-07,2.16961e-05,5.67436e-06,0.10004
0.398,-5.24521e-07,2.07424e-05,5.88894e-06,0.100035
0.4,-9.53674e-08,6.19888e-06,5.16176e-06,0.100042
0.402,-4.29153e-07,2.07424e-05,5.6386e-06,0.100034
0.404,-3.93391e-07,2.86102e-05,5.45979e-06,0.100039
0.406,-2.6226e-07,2.26498e-05,5.85318e-06,0.100035
0.408,-3.93391e-07,3.33786e-06,5.50747e-06,0.100037
0.41,-4.76837e-07,2.76566e-05,5.67436e-06,0.100039
0.412,-2.14577e-07,4.22001e-05,5.72205e-06,0.100039
0.414,-2.6226e-07,2.07424e-05,5.50747e-06,0.100034
0.416,-1.78814e-07,2.36034e-05,5.6386e-06,0.100038
0.418,-2.6226e-07,2.57492e-05,5.67436e-06,0.100036
0.42,-7.7486e-07,2.07424e-05,5.59092e-06,0.100041
0.422,-2.6226e-07,2.57492e-05,5.59092e-06,0.100036
0.424,-6.07967e-07,2.67029e-05,5.88894e-06,0.100032
0.426,-5.60284e-07,2.86102e-05,5.6386e-06,0.10003
0.428,-5.60284e-07,2.36034e-05,5.37634e-06,0.100036
0.43,-1.78814e-07,3.14713e-05,5.72205e-06,0.100044
0.432,-3.45707e-07,3.24249e-05,5.55515e-06,0.100034
0.434,8.34465e-08,2.07424e-05,5.45979e-06,0.100042
0.436,-7.27177e-07,3.05176e-05,5.20945e-06,0.100035
0.438,-8.22544e-07,3.24249e-05,5.76973e-06,0.100035
0.44,-3.45707e-07,1.5974e-05,5.88894e-06,0.100039
0.442,-5.24521e-07,3.52859e-05,5.85318e-06,0.100034
0.444,-3.93391e-07,4.60148e-05,5.67436e-06,0.100033
0.446,-2.6226e-07,4.60148e-05,5.85318e-06,0.100036
0.448,-1.78814e-07,3.43323e-05,5.6386e-06,0.100034
0.45,-2.6226e-07,4.1008e-05,5.80549e-06,0.100039
0.452,-6.07967e-07,4.69685e-05,5.80549e-06,0.100038
0.454,-7.27177e-07,2.36034e-05,5.50747e-06,0.10003
0.456,-3.45707e-07,1.40667e-05,5.67436e-06,0.100033
0.458,-4.29153e-07,1.97887e-05,5.85318e-06,0.100034
0.46,-6.07967e-07,1.12057e-05,5.67436e-06,0.100038
0.462,-3.93391e-07,1.0252e-05,5.45979e-06,0.100038
0.464,-9.53674e-08,2.67029e-05,5.6386e-06,0.100038
0.466,-5.60284e-07,3.24249e-05,6.10352e-06,0.100035
0.468,-5.60284e-07,1.5974e-05,6.02007e-06,0.100036
0.47,-4.29153e-07,1.40667e-05,5.6386e-06,0.100039
0.472,-4.76837e-07,4.60148e-05,5.50747e-06,0.100031
0.474,-3.09944e-07,2.76566e-05,5.6386e-06,0.100034
0.476,-7.7486e-07,1.5974e-05,5.55515e-06,0.100039
0.478,-6.07967e-07,3.43323e-05,5.6386e-06,0.100032
0.48,-2.6226e-07,8.34465e-06,5.45979e-06,0.100034
0.482,-3.45707e-07,2.95639e-05,5.29289e-06,0.100034
0.484,-4.29153e-07,2.26498e-05,5.67436e-06,0.100033
0.486,-7.27177e-07,1.50204e-05,5.76973e-06,0.100038
0.488,-4.76837e-07,-5.24521e-06,5.42402e-06,0.100044
0.49,-4.29153e-07,4.29153e-06,5.37634e-06,0.100036
0.492,-2.14577e-07,1.78814e-05,5.59092e-06,0.100033
0.494,-6.4373e-07,2.95639e-05,5.76973e-06,0.100039
0.496,-3.93391e-07,1.97887e-05,5.67436e-06,0.100036
0.498,-4.76837e-08,1.40667e-05,5.88894e-06,0.100042
0.5,-2.6226e-07,3.14713e-05,5.72205e-06,0.10004
0.502,-3.45707e-07,1.97887e-05,5.72205e-06,0.100035
0.504,-3.09944e-07,1.50204e-05,5.80549e-06,0.100032
0.506,-5.24521e-07,3.71933e-05,5.80549e-06,0.100038
0.508,-2.6226e-07,3.05176e-05,5.29289e-06,0.100034
0.51,-6.91414e-07,2.45571e-05,5.6386e-06,0.100037
0.512,-3.09944e-07,2.45571e-05,5.67436e-06,0.10004
0.514,-4.76837e-08,4.98295e-05,5.72205e-06,0.100037
0.516,-3.09944e-07,1.88351e-05,5.6386e-06,0.100038
0.518,-4.76837e-08,8.34465e-06,5.42402e-06,0.100038
0.52,-7.27177e-07,3.24249e-05,6.1512e-06,0.100032
0.522,-3.45707e-07,1.97887e-05,6.10352e-06,0.100037
0.524,-4.76837e-08,1.21593e-05,5.6386e-06,0.100034
0.526,-4.76837e-07,3.43323e-05,5.67436e-06,0.100038
0.528,-4.29153e-07,2.07424e-05,5.67436e-06,0.100042
0.53,-4.29153e-07,1.40667e-05,5.59092e-06,0.100037
0.532,-4.29153e-07,3.33786e-05,5.6386e-06,0.100035
0.534,-4.29153e-07,4.98295e-05,5.76973e-06,0.100034
0.536,-6.91414e-07,3.33786e-05,5.20945e-06,0.100042
0.538,-3.93391e-07,3.43323e-05,5.67436e-06,0.100036
0.54,-4.76837e-08,2.45571e-05,5.88894e-06,0.100036
0.542,-4.76837e-07,1.50204e-05,5.6386e-06,0.100037
0.544,-3.09944e-07,4.50611e-05,5.72205e-06,0.100041
0.546,-5.24521e-07,3.52859e-05,5.76973e-06,0.100035
0.548,-1.78814e-07,1.5974e-05,5.88894e-06,0.100039
0.55,-4.76837e-07,2.45571e-05,5.80549e-06,0.100037
0.552,-4.76837e-07,2.86102e-05,5.59092e-06,0.100036
0.554,-7.7486e-07,3.33786e-05,5.67436e-06,0.100036
0.556,0.0,1.21593e-05,5.67436e-06,0.100035
0.558,-3.93391e-07,2.07424e-05,5.67436e-06,0.100043
0.56,-9.05991e-07,3.33786e-05,5.72205e-06,0.10004
0.562,-9.53674e-08,4.00543e-05,5.55515e-06,0.100036
0.564,-3.09944e-07,3.43323e-05,5.50747e-06,0.100036
0.566,1.19209e-07,3.43323e-05,5.45979e-06,0.100037
0.568,-3.93391e-07,2.76566e-05,5.88894e-06,0.100038
0.57,-2.6226e-07,3.14713e-05,5.72205e-06,0.100036
0.572,8.34465e-08,2.45571e-05,5.59092e-06,0.100039
0.574,-4.76837e-07,3.43323e-05,5.72205e-06,0.100032
0.576,-6.07967e-07,1.5974e-05,5.59092e-06,0.100039
